id_jogo,nm_jogo,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes,cluster
78021,Feya's Swamp,2025,2026.0,2,4.0,100,12,380,9,14,445,434,8,0,8.71,88,1
78102,Aristofarsa,2025,2025.0,2,6.0,30,14,138,5,9,80,136,7,3,8.71,51,1
8581,Food Chain Magnate,2015,2025.0,2,5.0,240,14,975,159,185,1658,1645,8,0,8.71,591,1
39754,Inventions: Evolution of Ideas,2024,2024.0,1,4.0,150,14,123,14,13,278,222,3,1,8.71,53,1
11178,Clank!: Uma Aventura de Construção de Baralho,2016,2023.0,2,4.0,60,12,2979,570,506,2476,4818,12,2,8.71,1938,0
52715,Planta Nubo,2023,2024.0,1,4.0,120,12,129,6,2,175,121,5,0,8.7,36,1
54714,Doggerland,2023,2024.0,1,4.0,120,14,420,46,24,362,517,4,0,8.7,174,1
9611,Tiranos da Umbreterna,2016,2018.0,2,4.0,60,14,1270,198,208,1128,2196,7,1,8.69,804,1
13280,Luna Maris,2022,2022.0,1,4.0,120,12,635,94,43,475,748,5,0,8.69,300,1
36126,Azul: Mestre Chocolatier,2022,2023.0,2,4.0,45,8,983,57,81,541,1215,5,2,8.69,426,1
14457,Carcassonne Plus,2017,2019.0,2,6.0,35,7,805,112,120,645,729,2,0,8.69,350,1
1629,Antiquity,2004,2027.0,2,4.0,180,14,103,28,26,361,198,4,0,8.68,99,1
51774,Esdras e Neemias,2024,2025.0,1,4.0,120,13,380,35,21,469,419,7,1,8.68,125,1
41867,The White Castle,2023,2023.0,1,4.0,80,12,1584,135,139,969,2266,8,1,8.68,715,1
26163,Carnegie,2022,2022.0,1,4.0,150,14,578,120,65,537,1036,15,0,8.67,396,1
77966,The White Castle Duel,2025,2026.0,2,2.0,40,10,115,3,3,95,81,9,0,8.67,22,1
22705,Wonderland's War,2022,2024.0,2,5.0,125,13,981,104,101,1188,1357,11,4,8.66,390,1
10672,Agricola: Edição Revisada,2016,2023.0,1,4.0,120,12,1826,501,304,1870,2551,12,0,8.66,1222,0
79022,Star Wars: Battle of Hoth,2025,2025.0,2,4.0,30,8,395,12,19,280,284,14,1,8.66,106,1
46380,Azul Mini,2023,2023.0,2,4.0,45,8,3425,162,214,692,2682,6,3,8.66,1176,1
52324,Luthier,2025,2026.0,1,4.0,150,14,59,4,10,487,163,3,1,8.65,42,1
36707,World Wonders,2023,2023.0,1,5.0,70,12,1859,226,214,1271,2780,6,2,8.65,967,1
42403,Estudiosos do Sul do Tigre,2023,2024.0,1,4.0,90,12,310,40,21,212,380,7,2,8.65,113,1
29982,Zombicide: Undead or Alive,2022,2023.0,1,6.0,60,14,655,73,61,433,479,8,2,8.65,207,1
14981,Azul,2017,2018.0,2,4.0,45,8,9428,752,1147,3561,10300,5,2,8.65,5079,0
70797,Zenkai: Adventure,2025,2025.0,1,6.0,90,10,195,19,16,113,159,7,0,8.65,67,1
530,Age of Steam: Deluxe Edition,2002,2021.0,1,6.0,120,13,284,54,59,484,642,13,0,8.64,209,1
