,n_jogos_com_mecanica,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes
Leilão: Ordem do Turno até Passar,3,-0.0026203335202949697,-0.08314386767006131,0.007226282095125051,0.010302884560730412,0.026523037258883088,0.024863303508725974,0.06742632398630768,0.06564661483783919,0.034787235420254047,0.03450609728195164,0.06410915491996663,0.030384909318725284,-0.028772027502011136,-0.017250247510070933,0.06021204792016394
Linha de Visão,12,0.0063664639622186695,0.01050636735488493,0.014549598534640086,-0.012868272124195466,-0.06247300084859338,-0.07360883014400518,0.0005124992205259426,0.020569217161248182,0.029029526357074897,0.005690232317597268,-0.03659128198436129,0.1764662626072196,0.06927952645094497,0.09282522864578698,-0.006097512183724719
Maior Pontuação Baixa,3,-0.005222384655165188,-0.006909970860541979,0.007226282095125054,-0.011955928787313053,-0.022174144551731924,-0.01153507407132498,-0.004984326299815531,0.009435305728153804,-0.014642991815836146,-0.00811014615971009,-0.016146422495137182,0.02435756441302712,0.034408743331253336,-0.015494497127366473,-0.010162654958398746
Mancala,6,0.0034572329110310607,2.8890556114054278e-05,0.010242224600383772,-0.01300223766563918,-0.009467361825660027,0.002996743642654953,-0.003132414815491893,0.014874945508233258,0.013270146411430365,0.011683741721109402,0.015668984600622778,-0.025276939653886287,-0.05570520268491229,0.009974841098086808,0.015267196068997686
Mapa: Adição,20,0.0021447336685527854,-0.06428365514176514,-0.03992312776944102,-0.002888973839548399,0.02247257812767493,-0.02897478323683528,0.09027895231424957,0.11896577547943574,0.1009271454610027,0.11888241877822532,0.07746866562934573,0.14880889659086427,-0.0036445507622981897,0.012740970092028361,0.08766314739527271
Mapa: Modificação,5,0.005882414068138672,0.02332311808825282,0.0003947704530186209,-0.006824324051696773,-0.012070303902688744,0.022733971424870682,0.004235199814886012,-5.789135574775332e-05,0.035130403914364686,0.028436222372593578,-0.020401432957334903,0.18578923612393117,0.12072824626110125,0.09437606214391046,-0.00277364940632837
Mapa: Redução,3,-0.007824435790035413,-0.062352804903828773,0.04183101325487886,0.004738181223719545,-0.019960636287613066,-0.04793345165137594,0.03608908834440954,0.030626077019503442,0.01361974576652165,0.024283216220890767,0.047028252158550006,0.05449428894151775,-0.07089254139085407,-0.038319252102523724,0.03594490899652163
Marcadores de Ordens,4,0.0006470540121429409,-0.06804785097555185,0.01834727268138378,0.005475225645573655,0.0651795006587374,0.03135966590087223,0.09310723315074172,0.11835621084317757,0.12191468294014071,0.10246313733666612,0.07185040574467673,0.17440989775809163,0.027593035868386018,0.007963294689395684,0.09370683103158373
Marcas,14,0.005672462368993289,-0.008580979897675114,-0.054247096201866706,-0.018248748184053004,0.010245746961735287,0.027255345582828883,0.12189851323570085,0.08407241590483604,0.14705576132870615,0.0993766156875365,0.11723288843562675,0.12619081721424788,-0.04628389606041569,-0.01353439992260562,0.11133908166590244
Memória,19,0.0023562565185126206,-0.064977471499955,0.05087508205410872,0.009829824356783092,-0.11314733448888747,-0.162333547707225,0.05491121038536058,0.019665181195782214,0.021182417054461587,0.021009541280855075,0.0643304538497584,0.018406906081338985,0.005766511669877196,0.023611746772493898,0.052014245939657366
Mercado,30,0.005352762953721066,0.002302407642227902,-0.021350476655943876,-0.018830432260354,0.07273893704112698,0.07143092647509044,0.103839342297903,0.07321138585655884,0.09352988201574058,0.09176819669780367,0.09854424962543465,0.136964787828467,-0.07926210393959963,0.0444333241722521,0.1022048958500463
Mercado de Ações,5,-0.0006217185600471756,-0.046567174759257327,-0.02644962035223772,-0.0068243240516967655,0.10984481585082842,0.022733971424870734,-0.013360874050599008,0.035674434684243084,-0.016791526343922957,-0.002239081078263193,-0.006433505339768851,0.10162712471915993,-0.09165736507186073,-0.03138302006348921,-0.0029881122536654257
Minijogo no Final,1,0.0018228922818958083,0.008002440421788043,-0.03573326293554984,-0.006892585140826749,-0.015335551996855242,0.035317319154881614,0.03207137339696648,0.013862379286730135,0.017873268750569094,0.03296326132533356,0.005257883990571694,0.014042119983025746,0.03197784244770111,0.0011893220155938535,0.006413467563475092
Mover Várias Unidades,3,0.0028728855422088407,-0.006909970860541986,-0.061983180224382525,-0.011955928787313042,0.1327714339365887,0.061261681088776915,-0.035065280780123095,-0.028485021845840303,-0.021619985612317774,-0.013002076974205464,-0.030899512696108057,0.09065835837570646,0.01334848638683184,0.05356501792567374,-0.02856267548404652
Mover-se pelo Baralho,3,0.004029352713262273,0.020811446161101418,-0.027378449064628767,-0.006391225450302178,0.05529864469242833,0.03396289790373873,0.015046378887767473,-0.0009370191670857626,0.025918175509472337,0.06087862173701972,0.0324139057525726,0.042439599130121484,0.034408743331253405,0.0430305156294472,0.014872431399536038
Movimento Direcionado,4,-0.0011069192781761913,-0.03801634872777457,0.0483380068721071,-0.008992987200242728,0.021056950870707043,0.055018585441471105,0.0024061589711835817,0.03145927291033379,0.0027225317622742683,0.01728927957069401,0.012329382817480163,0.022922794878001473,-0.08192018041859307,-0.05036657086987188,0.013494297319415045
Movimento Medido,0,,,,,,,,,,,,,,,
Movimento Oculto,3,-0.0008856327637148168,-0.006909970860541974,0.007226282095125051,-0.006391225450302178,0.09956880997480572,0.0339628979037387,0.021432474792519515,0.0421137056669193,0.0457848697096234,0.07727913337792412,-0.0026111944946644334,0.10271304818710264,0.1186497711089394,0.025473011802403054,0.015671096731200207
Movimento Padrão,3,-0.0008856327637148153,0.02774180041651226,0.041831013254878854,-0.045344148809378246,-0.07087132636234698,-0.03883385725636325,0.00982932239727331,-0.003167626671438362,-0.007902506283642023,0.011896596530341554,0.0035243644394906543,-0.005779160115463519,0.013348486386831827,0.021961511036994445,0.0034453735772639604
Movimento Ponto-a-Ponto,51,0.010397431535751584,-0.04002051523804353,-0.021332714193088735,-0.013336797333069778,0.054972166263902916,0.028505977426350183,-0.023682632302123557,0.014429413230721243,0.014757023562537231,0.004579206701238993,-0.016076361184557957,0.15120486099579056,-0.032987360919067135,0.01692390506124961,-0.009609360886231372
