,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes
Leilão: Colocação Fixa,0.9636066386418974,0.07099180985776728,0.27602632582944997,0.6795767135985958,0.48988911368244453,0.5174618376153868,0.8639298067100782,0.14028131282365536,0.670596938550467,0.5603330488760245,0.47782363388255883,0.1557598056440714,0.8409086226883177,0.35677520430648096,0.38897279062556617
Leilão: Economia Fechada,,,,,,,,,,,,,,,
Leilão: Lance Selado,0.9813598821355584,0.07618530157149266,0.004687584408760539,0.8866733851658729,0.1943254827972069,0.6849355177425467,0.09339433958241572,0.009557404349519244,0.05162526696344532,0.18533379899056124,0.16992323850114197,0.00052575451202447,0.8165712860089714,0.1808079022047297,0.07192975552656383
Leilão: Lance Único,0.9876120502365736,0.10425809631023082,0.27602632582944997,0.8678753475955655,0.13407752768579814,0.37655062144035084,0.9454475653716184,0.45098493302855236,0.5854763577508836,0.17246090193931227,0.6526427768661337,0.2690940700636568,0.1943276550122604,0.507240641089997,0.6733751345463109
Leilão: Lances Restritos,0.9622556324187727,0.3066175448160568,0.02885920805657514,0.8612338693159975,0.7450175799952357,0.4535170167627745,0.6979620498741361,0.2574430993396251,0.338819502305388,0.2543151171117082,0.2870554106713794,0.04407040627425422,0.28827925640239804,0.23928388593798322,0.3264154676935675
Leilão: Lote Múltiplo,0.9444416553703177,0.09585218864101681,0.530140869362203,0.7477430247188165,0.8424919946023911,0.9203447648913087,0.9166606120960783,0.3690211196358536,0.9389333985161818,0.7456352983737382,0.7331782578534966,0.023260531858487966,0.28722443337479253,0.513018284411177,0.7205069014497227
Leilão: Ordem do Turno até Passar,0.9456229701571318,0.030166862267714364,0.8508028461770435,0.7885613948670096,0.48988911368244453,0.5174618376153868,0.07891295593244771,0.08716416688558,0.36507066940577115,0.36896113159072386,0.09483923323835795,0.42890523903741284,0.4538226103099687,0.6534047955662828,0.1167241841038495
Linha de Visão,0.868382570065769,0.7844873103581073,0.7048890209228538,0.7376552720439372,0.10359073524159196,0.055040644022124934,0.9893567288153025,0.5923391497716111,0.44979070675191124,0.8822549239130247,0.34071803458391026,3.6639017920560015e-06,0.07100664677081457,0.015462462886728742,0.8738953058305418
Maior Pontuação Baixa,0.8918738451863094,0.8572619839740196,0.8508028461770435,0.7556409771352722,0.5637786251951515,0.763983025724804,0.8967745031774936,0.8059953957400282,0.703084205576002,0.8328083682063747,0.674266349760722,0.5260200837771865,0.3703143165481543,0.686707018449367,0.7913724085846777
Mancala,0.9282967432176313,0.9994000008554226,0.7897770371602364,0.7350260676804093,0.8053494556024983,0.9378265280131337,0.9350178399699602,0.698608960396089,0.7297774079316987,0.7610330031051129,0.6833687998431781,0.5105160268543104,0.14676084024384634,0.7951415251890824,0.6910647959310287
Mapa: Adição,0.9554812346295757,0.09394183064577344,0.2985411487331646,0.9400581490003362,0.5585417465533042,0.45064617189593686,0.018539376701941623,0.001886241560265328,0.008444919121610866,0.0019002842825668644,0.04343999198074749,9.818714354921699e-05,0.9244230731251727,0.7401565402546261,0.022244190968411032
Mapa: Modificação,0.8783086103929634,0.5437472870383115,0.9918015493850116,0.859012569579419,0.7533787280190632,0.553974309924652,0.9122207800236419,0.9987977125140522,0.3603566053385555,0.4591110563197328,0.5953628018183886,1.0694334760439345e-06,0.0016107194104932917,0.013816622087952219,0.9424467257689052
Mapa: Redução,0.8386160328297066,0.10425809631023082,0.27602632582944997,0.9018457670196611,0.6033397133190146,0.21189578040727006,0.34739045337190494,0.4252488867610028,0.7229473139681765,0.5272842814726014,0.22066254413529982,0.1557598056440714,0.06466381530767999,0.31838997108130834,0.3493213216540222
Marcadores de Ordens,0.986562613187992,0.07618530157149266,0.6329361331176994,0.8866733851658729,0.08944122259990436,0.41423918301857776,0.01515095916185459,0.001991166030980385,0.0014466114912420353,0.007494420110689889,0.061123222688546926,4.766881327900427e-06,0.472540692236001,0.8357923173076565,0.014506909585735759
Marcas,0.8826199658562089,0.8232576593577968,0.15764713417136328,0.6347633173881917,0.789706434075489,0.47797909315796194,0.0014487407257292601,0.028365853819395145,0.00011877911131738362,0.00951209573750415,0.002198635772280889,0.0009744845558227558,0.22806364283025854,0.7246127021470952,0.003648319677976771
Memória,0.9510958463338481,0.09044075448359,0.18514554065757735,0.7980550461508097,0.003130886094503689,2.1036303322174882e-05,0.15261542572408304,0.6087131351477386,0.5813488905676416,0.5844376633068857,0.09370231784922665,0.6318312867878545,0.8806882278038385,0.5387714028950279,0.17548532340714548
Mercado,0.8891916167879884,0.9522121308944953,0.5783534918165363,0.6240081931181324,0.05798364366561001,0.06265353463605088,0.006725347593674345,0.05636947857921085,0.014694423961145541,0.016680671655424823,0.010133133740812972,0.00034106875387067745,0.03879525998076929,0.24722368918310242,0.007647205645362897
Mercado de Ações,0.9870887083951407,0.22522648535200163,0.49109186726240434,0.859012569579419,0.004133173495874908,0.553974309924652,0.7280027876839354,0.35296184911402523,0.6620426972032968,0.9535250070042542,0.8670093979658666,0.007999168553719897,0.016813148277223907,0.4138914696367772,0.9380052430066826
Minijogo no Final,0.9621563333978765,0.8349966630075146,0.35216800240718393,0.8576172845733513,0.6897532053826325,0.3578050847232513,0.4037203831785638,0.7182198784247706,0.641747062244045,0.3907663110284077,0.8911434058173437,0.7147247523074629,0.4050935617734149,0.9753040907024243,0.8674197790861616
