place_id,nome,endereco,capital_busca,termos_busca,termos_alta_precisao,varejo_grande,grupo_categoria,categorias_google,avaliacao_media,volume_avaliacoes,status_google,site_ou_rede_social,instagram_usuario,link_google_maps,data_coleta,evidencia_espaco_jogo,relevante,observacao,tem_fotos_maps,fotos_comprovam,tem_instagram,instagram_comprova
ChIJAVLe6JMbFgcRvIe90u-2hr4,Vitoria Tendtudo Sussuarana,"Av. Ulysses Guimarães, 4300 - Novo Horizonte, Salvador - BA, 41218-700, Brazil",Vitória,board game,0,nao,loja,store;point_of_interest;establishment,4.3,25,OPERATIONAL,https://www.instagram.com/vitoriatendtudo/,vitoriatendtudo,https://maps.google.com/?cid=13728861655234611132&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJuanmlmRJJ5URc1VBwA_dbEY,Man Cave Store - Unidade São José,"Ed. Empresarial Terra Firme - R. Domingos André Zanini, 277 - Lj 15 - Barreiros, São José - SC, 88117-907, Brazil",Florianópolis,board game,0,nao,loja,store;point_of_interest;establishment,4.7,24,OPERATIONAL,,,https://maps.google.com/?cid=5074673939859461491&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJ_-9uwwSzGgcR7VGAawk4Pt8,Ag,"Av. Dr. José da Silva Ribeiro Filho, 18 - Siqueira Campos, Aracaju - SE, 49075-170, Brazil",Aracaju,board game,0,nao,loja,toy_store;store;point_of_interest;establishment,4.8,20,OPERATIONAL,http://www.agbrinquedos.com.br/,,https://maps.google.com/?cid=16086356532123423213&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,não,,não,
ChIJs1mLEhwYuAARLMxt9ng_Oqk,Casa Santa Clara,"Av. Des. Dermeval Lyrio, 640 - Mata da Praia, Vitória - ES, 29065-340, Brazil",Vitória,board game,0,nao,loja,toy_store;store;point_of_interest;establishment,5,20,OPERATIONAL,https://instagram.com/casa_santa_clara?igshid=YmMyMTA2M2Y=,casa_santa_clara,https://maps.google.com/?cid=12194128729822055468&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,inconclusivo,sim,não
ChIJDbC4GnCzGgcRLp_J-WQBHZI,Figueiredo,"R. Santo Amaro, 196 - Centro, Aracaju - SE, 49010-290, Brazil",Aracaju,board game,0,nao,loja,toy_store;point_of_interest;store;establishment,4.3,18,OPERATIONAL,,,https://maps.google.com/?cid=10528573037061185326&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJzfSIIQT_sgcRx98HUGGgte4,Kalunga,"Av. Sen. Salgado Filho, 1760 - Tirol, Natal - RN, 59022-000, Brazil",Natal,board game,0,nao,loja,store;point_of_interest;establishment,4.8,17,OPERATIONAL,https://www.kalunga.com.br/lojas/endereco/rio-grande-do-norte/18/horario-de-funcionamento/0215,,https://maps.google.com/?cid=17200830691626442695&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJ_Y73NEM3jgcR5trTPurgMJQ,Dinolândia,"Av. Dom Severino, 2750 - Fátima, Teresina - PI, 64051-160, Brazil",Teresina,board game,0,nao,loja,toy_store;store;point_of_interest;establishment,4.5,14,OPERATIONAL,http://dinolandia.com.br/,,https://maps.google.com/?cid=10678282013176486630&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJbR4fcvCN9gcRem3c3iqXjiM,Tear Store,"R. Tiracambu, 08 - Calhau, São Luís - MA, 65071-650, Brazil",São Luís,board game,0,nao,loja,toy_store;point_of_interest;store;establishment,5,14,OPERATIONAL,,,https://maps.google.com/?cid=2562151448403799418&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJ8TTwiaazGgcRqhhXRMDd1PE,Frajola,"Av. Ministro Geraldo Barreto Sobral, 1486 - Jardins, Aracaju - SE, 49026-010, Brazil",Aracaju,board game,0,nao,loja,toy_store;point_of_interest;store;establishment,4.6,13,OPERATIONAL,https://instagram.com/frajolabrinquedos?utm_medium=copy_link,frajolabrinquedos,https://maps.google.com/?cid=17425796676053309610&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
ChIJQb1nkDznhpQRSluY8_dwHzg,Dragons Animes,"R. Albert Sabin, 1030 - Vila Belo Horizonte, Campo Grande - MS, 79090-160, Brazil",Campo Grande,board game,0,nao,loja,store;point_of_interest;establishment,5,5,OPERATIONAL,https://dragonsanimes.smallpage.com.br/,,https://maps.google.com/?cid=4044075200648076106&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,sim,não,,
