place_id,nome,endereco,capital_busca,motivo_descarte,termos_busca,categorias_google,avaliacao_media,volume_avaliacoes,site_ou_rede_social,data_coleta
ChIJUXkmHEzxXpMRCx4KIF5DQCw,Vikings Pub,"Av. T-7, N°. 921 - St. Bueno, Goiânia - GO, 74210-265, Brazil",Goiânia,so_termo_baixa_precisao,quiz bar,gastropub;night_club;bar;shipping_service;service;restaurant;food;point_of_interest;establishment,4.7,7876,https://www.instagram.com/vikings_pub/,2026-09-01
ChIJI7bCDpQ7WpMRmZwtGVIS-F0,Vikings Pub Brasília,"SIG Q. 8, 2285/2286 - Sudoeste/Octogonal, Brasília - DF, 70610-480, Brazil",Brasília,so_termo_baixa_precisao,quiz bar,gastropub;irish_pub;pub;cocktail_bar;bar;restaurant;food;point_of_interest;establishment,4.9,471,https://www.instagram.com/vikings_pub.df/,2026-09-01
ChIJJd43o_obbJIRDtnSxbICZWc,Vila Kids Manaus Laranjeiras,"Av. Prof. Nilton Lins, 3855 - Parque das Laranjeiras, Manaus - AM, 69058-030, Brazil",Manaus,so_termo_baixa_precisao,ludoteca,amusement_park;playground;barber_shop;nail_salon;hair_care;health;beauty_salon;service;point_of_interest;establishment,4.9,8,https://vilakidsmanaus.hotmart.host/linksvk,2026-09-01
ChIJAQAUxWGXpgARFPNWGvphNQA,Vila Lúdica,"R. Curitiba, 2039 - 2º andar - Lourdes, Belo Horizonte - MG, 30170-127, Brazil",Belo Horizonte,so_termo_baixa_precisao,ludoteca,banquet_hall;event_venue;lodging;point_of_interest;establishment,4.6,48,,2026-09-01
ChIJ4z4bZErk3JQR9-2D2OsTxXE,Vila Yamon,"R. Itupava, 1402 - Alto da XV, Curitiba - PR, 80045-330, Brazil",Curitiba,so_termo_baixa_precisao,quiz bar,bar;wine_bar;hamburger_restaurant;brewery;food_court;american_restaurant;manufacturer;service;restaurant;food;point_of_interest;establishment,4.5,3942,https://www.vilayamon.com.br/,2026-09-01
ChIJa-WTl2SE2CoRe4OkYu_mKIw,Vila kids Manaus Cidade Nova,"Av atroaris esquina com rua Aticum - Cj Renato Souza Pinto, 23 - Cidade Nova, Manaus - AM, 69090-625, Brazil",Manaus,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,5,2,https://vilakidsmanaus.hotmart.host/linksvk,2026-09-01
ChIJKze4kT0yWpMRzQ0IfeASwaw,Villa Carioca,"Alameda Gravatá, Conjunto 10 Quadra 301 lote 3 - Águas Claras, Brasília - DF, 71901-250, Brazil",Brasília,so_termo_baixa_precisao,quiz bar,bar_and_grill;sports_bar;brewery;family_restaurant;live_music_venue;bar;event_venue;storage;manufacturer;restaurant;food;point_of_interest;service;establishment,4.8,16269,https://www.facebook.com/Barvillacarioca/,2026-09-01
ChIJo81PYQDzXpMReJ5i2SGE0bU,Villa Gyn Gastrobar,"Av. Francisco Magalhães - St. Urias Magalhães, Goiânia - GO, 74565-480, Brazil",Goiânia,so_termo_baixa_precisao,quiz bar,bar;point_of_interest;establishment,4.5,118,https://www.instagram.com/villa_gyn_gastrobar?igsh=bmp2bTNoNHdv,2026-09-01
ChIJfV821Q_k3JQR1kx_9tjVhps,Vitto Bar,"R. Treze de Maio, 940 - Centro, Curitiba - PR, 80510-030, Brazil",Curitiba,so_termo_baixa_precisao,quiz bar,night_club;cocktail_bar;bar;point_of_interest;establishment,4.2,1015,https://www.instagram.com/vittobarcwb/,2026-09-01
ChIJCUw8d9J5GZURs0u7s4lBAJM,WEISS BRITISH PUB,"Av. Benjamin Constant, 1173 - São Geraldo, Porto Alegre - RS, 90550-002, Brazil",Porto Alegre,so_termo_baixa_precisao,quiz bar,irish_pub;gastropub;pub;bar;restaurant;food;point_of_interest;establishment,4.6,2271,https://www.instagram.com/weissbritishpub,2026-09-01
ChIJB1ry_y87WpMRw2f81Ze-5ls,War with Poetry,"Setor de Habitações Individuais Norte - Lago Norte QL 10 CASA 7 - Asa Norte, Brasília - DF, 71525-065, Brazil",Brasília,sem_termo_chave,bar de jogos de tabuleiro;board game bar;café de jogos de tabuleiro;clube de jogos de tabuleiro,association_or_organization;point_of_interest;establishment,,0,,2026-09-01
ChIJQ6V_jnjk3JQR7PJen5oxpus,We Are Bastards,"Av. Iguaçu, 2300 - Água Verde, Curitiba - PR, 80240-030, Brazil",Curitiba,so_termo_baixa_precisao,quiz bar,cocktail_bar;pub;bar;point_of_interest;establishment,4.6,5199,http://www.facebook.com/pg/WeAreBastardsPub/,2026-09-01
ChIJM6Fg-wbl3JQRakSiXMfjWSI,Wit Bar,"R. Itupava, 1163 - Alto da XV, Curitiba - PR, 80060-272, Brazil",Curitiba,so_termo_baixa_precisao,quiz bar,cocktail_bar;bar;point_of_interest;establishment,4.5,3531,http://www.witbar.com.br/,2026-09-01
ChIJF-HFyiI4J5URURwP515flQo,Wooden Tap Beer,"Travessa Albertina Ganzo, 33 - Centro, Florianópolis - SC, 88015-210, Brazil",Florianópolis,so_termo_baixa_precisao,quiz bar,brewery;bar;event_venue;restaurant;service;point_of_interest;manufacturer;food;establishment,4.8,1719,http://www.woodenbeer.com/,2026-09-01
ChIJE3oF2OA9qwcRkNEcl3b78kQ,Wow Park,"R. Carmelita Muniz de Araújo, 225 - Casa Caiada, Olinda - PE, 53130-645, Brazil",Recife,so_termo_baixa_precisao,ludoteca,amusement_park;banquet_hall;indoor_playground;playground;event_venue;point_of_interest;establishment,4.9,110,https://www.wowpark.com.br/,2026-09-01
ChIJj-Seu2yXpgAR1Jezj-Ci0gE,Wow Park,"BH Shopping - BR-356, 3049 - Belvedere, Belo Horizonte - MG, 30320-900, Brazil",Belo Horizonte,so_termo_baixa_precisao,ludoteca,amusement_park;banquet_hall;indoor_playground;playground;event_venue;point_of_interest;establishment,4.9,5812,http://wowpark.com.br/,2026-09-01
ChIJqfBIGO55GZURH4uUeRPp95E,Wow Park,"Av. Diário de Notícias, 300 - Cristal, Porto Alegre - RS, 90810-080, Brazil",Porto Alegre,so_termo_baixa_precisao,ludoteca,amusement_park;indoor_playground;banquet_hall;playground;event_venue;point_of_interest;establishment,4.8,542,http://wowpark.com.br/,2026-09-01
