place_id,nome,endereco,capital_busca,motivo_descarte,termos_busca,categorias_google,avaliacao_media,volume_avaliacoes,site_ou_rede_social,data_coleta
ChIJb_WlUZfLJJMRpOjEmO0BDH8,Wow Park,"Q Acsu no 13 - Av. NS-5, Sn - Plano Diretor Norte, Palmas - TO, 77001-098, Brazil",Palmas,so_termo_baixa_precisao,ludoteca,amusement_park;indoor_playground;banquet_hall;playground;event_venue;point_of_interest;establishment,4.8,381,https://www.wowpark.com.br/,2026-09-01
ChIJEeZTNgDdrAcRKqQj9P4dzl0,Yolo Espaço Kids,"Rua Prefeito Joaquim Gonçalves de Assis, 50 - Jardim Oceania, João Pessoa - PB, 58037-645, Brazil",João Pessoa,so_termo_baixa_precisao,ludoteca,playground;point_of_interest;establishment,4.2,5,,2026-09-01
ChIJ7Sfr2NXphpQR4bTZtqFiy3g,YouPlay Shopping Campo Grande,"Av. Afonso Pena, 4909 - Santa Fe, Campo Grande - MS, 79031-900, Brazil",Campo Grande,so_termo_baixa_precisao,ludoteca,sports_activity_location;point_of_interest;establishment,2,3,,2026-09-01
ChIJd9snKMqznZMRj6VpUHFgQyM,Youplay Estação Cuiabá,"SHOPPING ESTAÇÃO CUIABÁ - Av. Miguel Sutil, 9300 - Piso L3 - Santa Rosa, Cuiabá - MT, 78040-365, Brazil",Cuiabá,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,4.6,20,,2026-09-01
ChIJg3PocFrphpQRk4P4X525vxo,YuuP! Play,"Av. Afonso Pena, 4909 - Santa Fe, Campo Grande - MS, 79031-900, Brazil",Campo Grande,so_termo_baixa_precisao,ludoteca,amusement_center;point_of_interest;establishment,4.3,796,,2026-09-01
ChIJjQGsRI6xGgcRXwOCfYmCy20,ZUK Bar e Restaurante,"R. Eng. Francisco Manoel da Costa, 522 - Atalaia, Aracaju - SE, 49035-110, Brazil",Aracaju,so_termo_baixa_precisao,quiz bar,restaurant;point_of_interest;food;establishment,4.5,306,https://www.instagram.com/zukbarerestaurante/,2026-09-01
ChIJUYE_1MKxnZMR7JCcXRmoz5w,Zenaide Bar Cuiabá,"Pantanal Shopping - Av. Historiador Rubens de Mendonça, 3300 - Jardim Aclimacao, Cuiabá - MT, 78020-250, Brazil",Cuiabá,sem_termo_chave,ludobar;quiz bar,cocktail_bar;bar;point_of_interest;establishment,4.7,1242,https://instagram.com/zenaide.cuiaba,2026-09-01
ChIJ9WS5kXc7jgcRKK9ZUGZXE0Q,Zero Grau Choperia - Street.,"Av. Homero Castelo Branco, 280 - São Cristóvão, Teresina - PI, 64050-010, Brazil",Teresina,sem_termo_chave,ludobar;quiz bar,bar;night_club;restaurant;point_of_interest;food;establishment,4.6,753,https://instagram.com/zerograuchopperia?igshid=1ghiml3delg5p,2026-09-01
ChIJE3UXCQDdrAcRoymSMwbiNfs,Zimbro Drinks e Tapas,"R. Joaquim Avundano, 43 - Miramar, João Pessoa - PB, 58043-020, Brazil",João Pessoa,sem_termo_chave,ludobar,bar;point_of_interest;establishment,3.7,153,https://www.instagram.com/zimbrodrinksetapas,2026-09-01
ChIJxQ3D0o1VsgcRCegpl_amhGY,bonecas de pano da Edenize,"Av. Coronel Estevam, 3609 - Nossa Sra. de Nazaré, Natal - RN, 59062-200, Brazil",Natal,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,,0,,2026-09-01
ChIJTfwY2SeqswcRiJ8IGhHXwBI,du bar WiFi,"R. Urutaí, 21 - Pajuçara, Natal - RN, 59131-690, Brazil",Natal,so_termo_baixa_precisao,quiz bar,bar;point_of_interest;establishment,4.7,425,,2026-09-01
ChIJhcrbTH__sgcRegJ2cHeEZH0,Átma Rooftop,"R. Francisco Gurgel, 8920 - Ponta Negra, Natal - RN, 59090-700, Brazil",Natal,so_termo_baixa_precisao,quiz bar,cocktail_bar;bar;restaurant;food;point_of_interest;establishment,4.8,619,https://instagram.com/atmarooftop,2026-09-01
ChIJPVCtqhyxGgcRoF9lJSbbfGg,Âncora Beach Club,"Av. Inácio Barbosa, 799, Zona de Expansão - Mosqueiro, Aracaju - SE, Brazil",Aracaju,so_termo_baixa_precisao,quiz bar,restaurant;food;point_of_interest;establishment,4.6,3336,,2026-09-01
ChIJeTh9VdSzGgcRlHeThwYFh9c,É Pra Brincar Circus Food ParK,"Rua Orlando Magalhães Maia, 1171 - Jardins, Aracaju - SE, 49025-530, Brazil",Aracaju,so_termo_baixa_precisao,ludoteca,restaurant;food;point_of_interest;establishment,4.3,7,,2026-09-01
ChIJdTV6VcQBswcRK9cwh5WD8k4,Ô Bar Praia,"R. Dr. Jose Augusto Bezerra De Medeiros, 10 - Praia do Meio, Natal - RN, 59014-075, Brazil",Natal,so_termo_baixa_precisao,quiz bar,restaurant;point_of_interest;food;establishment,4.4,1360,https://instagram.com/obarpraia,2026-09-01
ChIJTcKDVjMBswcRta2QrtuNUYI,Ô Bar Restaurante - Petrópolis,"Rua Mipibu, 651 - Petrópolis, Natal - RN, 59020-250, Brazil",Natal,sem_termo_chave,ludobar;quiz bar,bar;point_of_interest;establishment,4.4,283,http://instagram.com/obarpetropolis,2026-09-01
ChIJgRbCvuD_sgcRLw8dgwonBKY,Ô Bar Restaurante - Ponta Negra,"Av. Praia de Ponta Negra, 9184 - Ponta Negra, Natal - RN, 59092-100, Brazil",Natal,so_termo_baixa_precisao,quiz bar,restaurant;food;point_of_interest;establishment,4.5,4792,,2026-09-01
ChIJy-GfgDD_sgcReW8fJ4aQBXs,Ô Fuxico Bar,"R. Praia do Sagi, 2074 - Ponta Negra, Natal - RN, 59094-110, Brazil",Natal,so_termo_baixa_precisao,quiz bar,restaurant;cocktail_bar;bar;pizza_restaurant;food;point_of_interest;establishment,4.5,1173,https://instagram.com/barofuxico,2026-09-01
ChIJJRq4ofP_sgcRRKgPX5ojq3M,Ô Pai Cozinha e Boteco,"Av. Ayrton Senna, 3030 - Neópolis, Natal - RN, 59080-101, Brazil",Natal,so_termo_baixa_precisao,quiz bar,cocktail_bar;seafood_restaurant;gastropub;bar_and_grill;live_music_venue;bar;event_venue;restaurant;food;point_of_interest;establishment,4.6,379,,2026-09-01
