place_id,nome,endereco,capital_busca,motivo_descarte,termos_busca,categorias_google,avaliacao_media,volume_avaliacoes,site_ou_rede_social,data_coleta
ChIJyb5IkGaxGgcRVtpV-vdRgUg,Laguna,"Av. Santos Dumont, 751 - Atalaia, Aracaju - SE, 49037-475, Brazil",Aracaju,sem_termo_chave,board game bar;ludobar;ludoteca;quiz bar,restaurant;bar;food;point_of_interest;establishment,4.4,2234,https://www.instagram.com/lagunaaju/,2026-09-01
ChIJnfbkPSE2J5URRbMRHhT13r8,Lair of the Moon,"Av. Delamar José da Silva, 180 - Sl 01 - Kobrasol, São José - SC, 88102-101, Brazil",Florianópolis,sem_termo_chave,bar de jogos de tabuleiro;board game;jogos de tabuleiro;loja de jogos de tabuleiro,store;point_of_interest;establishment,4.8,123,,2026-09-01
ChIJZZUHbgDhYY0R9jUdPGJQZbI,Lajes Barber Club,"R. Leopoldo Machado, 2447 - Centro, Macapá - AP, 68900-067, Brazil",Macapá,sem_termo_chave,ludobar,barber_shop;hair_salon;cocktail_bar;coffee_shop;cafe;clothing_store;bar;hair_care;health;beauty_salon;service;food_store;store;point_of_interest;food;establishment,5,6,http://lajesbarberclub.com.br/,2026-09-01
ChIJv2wtG6zhYY0R1xTfcbsaSZA,Lajes Macapá,"R. Leopoldo Machado - Trem, Macapá - AP, 68901-130, Brazil",Macapá,sem_termo_chave,ludobar,restaurant;food;point_of_interest;establishment,4.3,69,,2026-09-01
ChIJDUoU8QlJAQcR5J807Tuy3gY,Latin House Maceió,"Av. Menino Marcelo, 134 - Tabuleiro do Martins, Maceió - AL, 57081-385, Brazil",Maceió,sem_termo_chave,bar de jogos de tabuleiro;ludobar;quiz bar,bar;restaurant;food;point_of_interest;establishment,4.6,9,http://www.instragram.com/llatinhouse,2026-09-01
ChIJPVTMANgaFgcR5D-tNJZzeDw,Le Biscuit,"Alameda Euvaldo Luz, 92 - Pernambués, Salvador - BA, 41098-020, Brazil",Boa Vista,sem_termo_chave,board game bar,department_store;store;point_of_interest;establishment,4.3,1308,http://lebiscuit.com.br/,2026-09-01
ChIJ929zA30YqwcRdDva32rB9ig,Leitura,"Av. Gov. Agamenon Magalhães, 153 - Santo Amaro, Recife - PE, 50110-000, Brazil",Recife,sem_termo_chave,jogos de tabuleiro;loja de jogos de tabuleiro,book_store;store;point_of_interest;establishment,4.6,4761,http://www.leitura.com.br/,2026-09-01
ChIJCULrYBfLJJMRfe-N3Hcauro,Leitura,"Q. 107 Norte Avenida NS 5, s / n - Plano Diretor Norte, Palmas - TO, 77001-098, Brazil",Palmas,sem_termo_chave,bar de jogos de tabuleiro;board game;café de jogos de tabuleiro;jogos de tabuleiro;loja de RPG;loja de jogos de tabuleiro,book_store;gift_shop;electronics_store;toy_store;store;point_of_interest;establishment,4.7,2007,http://leitura.com/,2026-09-01
ChIJjR_UGX__sgcREg4QBgYfJJw,Leitura,"Av. Sen. Salgado Filho, 2234 - Candelária, Natal - RN, 59064-900, Brazil",Natal,sem_termo_chave,board game;jogos de tabuleiro;loja de jogos de tabuleiro,book_store;electronics_store;store;point_of_interest;establishment,4.6,2870,http://www.leitura.com.br/,2026-09-01
ChIJq6qqTpXohpQRLq7PmpY9FV4,Leitura Campo Grande,"Av. Afonso Pena, 4909 - Santa Fe, Campo Grande - MS, 79031-900, Brazil",Campo Grande,sem_termo_chave,bar de jogos de tabuleiro;board game;board game café;clube de jogos de tabuleiro;jogos de tabuleiro;loja de card game;loja de jogos de tabuleiro,book_store;movie_rental;electronics_store;home_goods_store;point_of_interest;association_or_organization;service;store;establishment,4.6,3245,http://leitura.com/,2026-09-01
ChIJ58LFouOZpgAReibzuoi1XIk,Leitura Shopping Cidade,"Shopping Cidade Rua dos Tupis 337 GG01 - Centro, Belo Horizonte - MG, 30190-060, Brazil",Belo Horizonte,sem_termo_chave,board game;jogos de tabuleiro;loja de jogos de tabuleiro,book_store;gift_shop;electronics_store;store;point_of_interest;establishment,4.5,5882,http://www.leitura.com.br/,2026-09-01
ChIJKXRG06qLpJIR4TaiC3Not9U,Lendarios da Amazônia,"Alameda Roberto Santos, 19 - Maracangalha, Belém - PA, 66110-462, Brazil",Belém,sem_termo_chave,clube de jogos de tabuleiro;jogos de tabuleiro,point_of_interest;association_or_organization;establishment,,0,,2026-09-01
ChIJDf2Q65GzGgcRzl1kJ8mRYz0,LeoShadow Arena,"R. Gararu, 1194 - Suíça, Aracaju - SE, 49052-430, Brazil",Aracaju,sem_termo_chave,board game;clube de jogos de tabuleiro;jogos de tabuleiro;loja de jogos de tabuleiro,point_of_interest;association_or_organization;establishment,,0,,2026-09-01
ChIJi3o774_phpQRX5CuhHxX2zc,Lepetipola,"R. Gen. Paulo Xavier, 161 - Cidade Jardim, Campo Grande - MS, 79040-540, Brazil",Campo Grande,so_termo_baixa_precisao,ludoteca,point_of_interest;establishment,4.8,26,https://www.instagram.com/le.petipola?igsh=a2o5cTh1ZjRiM3Uw&utm_source=qr,2026-09-01
ChIJ7bsDLF8bFgcRtY4gf368ffE,Leroy Merlin Salvador,"Alameda Euvaldo Luz, 92 - Pernambués, Salvador - BA, 41098-020, Brazil",Boa Vista,sem_termo_chave,board game bar,building_materials_store;service;store;point_of_interest;establishment,4.6,3418,https://www.leroymerlin.com.br/mais/salvador-p.html,2026-09-01
ChIJV4Gh7YBbMpIRkYmRfQ0SZ8o,Lf infláveis,"R. América do Sul, 2620 - Três Marias, Porto Velho - RO, 76812-704, Brazil",Porto Velho,so_termo_baixa_precisao,ludoteca,park;point_of_interest;establishment,5,3,https://www.instagram.com/lfinflaveis?igsh=dGt2NGZpZDUwbnh3&utm_source=qr,2026-09-01
