,n_jogos_com_mecanica,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes
Eliminação de Jogadores,9,0.013732808336076336,0.05283466736063162,0.20118131050188987,0.05285411758055322,-0.05297349124433404,0.031847133659757734,-0.05841383812604232,-0.058989360154372804,-0.03756579405685625,-0.05613980309095069,-0.03629594133966974,0.10079896427902903,0.13454553234933897,0.11962473881932945,-0.04498695628762154
Empréstimos,5,-0.04559360053424883,-0.08275928397814844,0.041770370420484315,-0.027766441974893516,0.060148092303499205,0.09087625706772354,0.027338580535317916,0.035878874463924376,0.05355991280139596,0.08167941766117265,0.06258597854815087,0.02156157397753727,-0.07285385534651102,0.12030625926310677,0.044735352178816454
Encadeamento,2,-0.10016972841575941,-0.05911371970647475,0.009482079867718228,-0.03538983677194757,0.008250583581760248,0.011966548417318656,0.05837250706956269,0.144929189524932,0.08359532691951757,0.08436282074924648,0.08970760602906001,0.027969900535236673,-0.00903788028382666,-0.0161705353018763,0.09434638640151176
Escalada,1,-0.0403743732620198,0.034103691413175305,0.06571909259414004,0.03837965178942877,-0.0982394190039852,-0.11521061616877853,0.18414871786126288,-0.006559069539855697,0.03526556460816647,0.0243744495493884,0.16691097778392025,-0.06512139913674099,0.05833040939650164,-0.08644868787634312,0.10175773939531228
Escolha Narrativa,7,-0.18590268778366253,-0.15077316031602797,-0.09528830877361245,-0.04274277985312574,0.04146687765737889,0.08367278219657992,0.07580270696978593,0.21505250320338165,0.13820077023069063,0.2143034984383072,0.06394032818246018,0.40461103284610855,0.00770518575979919,-0.0039355285139349196,0.10332279603175372
Especulação de Commodities,3,-0.14055849671068235,-0.0285986855498826,-0.09111228502892531,-0.0434517447776062,0.08471485074521504,0.024942014230504066,-0.011349746068586587,0.09003776261639677,0.016946956119510644,0.040512091320422286,0.025990596543786035,0.07372756872248865,-0.1237286037793128,-0.08239642108649713,0.0374865270501923
Eventos,12,-0.17379695937452544,-0.11103596761369049,0.023826518001343333,-0.08892738667833212,0.1770099230465605,0.13495098554848317,0.021537485230710494,0.14751391801106212,0.03337867498556739,0.07097426725741054,-0.012132064414252063,0.31714035891970643,0.03491714119493245,0.04847893356004272,0.02781458627406215
Ficha de Vantagem,3,-0.14055849671068235,-0.0725799974182627,-0.022609344803474075,-0.006698810653214291,0.02788836680873045,-0.016055790537045138,0.01265373704111637,0.0812155829454504,0.02404998177455675,0.06686063236747941,0.0456682876217254,0.132806633659325,-0.12372860377931286,-0.011145824094339465,0.04186437434161341
Fila de Ações,7,-0.16266485181070472,-0.14107821209171573,-0.04998730952058355,-0.0670474978088247,0.12132301314600313,0.09722870780384706,0.10676210048712405,0.25075168814613513,0.1560261610778515,0.19824146920086413,0.07876601250118023,0.3134500565222906,-0.017122635021776106,0.10286532785504246,0.11627638171518073
Fila de Recursos,1,0.06056155989302969,0.03410369141317532,-0.05234264011922656,-0.02496237514759597,0.02418293862529039,0.061434059679122084,-0.03464340648076983,-0.036244298349110166,-0.03598766829001913,-0.024834045537821522,-0.022631044020678538,0.05366872688804586,-0.07108022565803208,-0.02095685031864704,-0.03144093000099037
Fim por Morte Súbita,4,-0.030508173227503217,-0.05856212863510161,0.13242521921547198,-0.0822085065156993,-0.0992809444148113,-0.0541803911214605,0.25180440984250485,0.19322253070893025,0.23377040650219008,0.17730245828812585,0.194165144496216,0.11669223065932802,0.019750049895080515,0.0292538340892759,0.2346708448294666
Force sua sorte,9,-0.013732808336076329,0.03564646628016974,0.08070990627804442,-0.011780737051087134,-0.007169113335874061,0.007813794875628263,0.012908333035955535,-0.0022243083155381246,0.005140538054933981,0.05195263179978565,0.015652536037738085,0.15274810609504766,0.13454553234933905,0.051868021143082824,-0.0056364167970570055
Fundir e Espalhar,1,0.06056155989302972,0.0341036914131753,-0.05234264011922656,-0.02496237514759596,0.024182938625290404,-0.009223810660038158,-0.024064330947272464,-0.03298616347980174,-0.02186257806791186,0.020493913862980908,-0.009814036623230351,0.07063874489158678,-0.006374908130765208,0.006331415330392876,-0.023895907333661686
Gerenciamento de Mãos,95,-0.05098592555738314,-0.06301143356910907,0.014607239505964598,-0.12832572940903808,-0.008313794097885269,-0.07833771034395456,-0.006769074851459389,0.037323216691070187,0.026480056569268655,0.04235000279278449,-0.04609101449708812,0.07010863721866789,0.03305143937586431,0.09511790076372509,-0.0241768175636103
Grade Hexagonal,21,-0.03248659404439114,-0.03284906848173959,-0.06270703999505464,0.08335514093419749,0.24902889209993292,0.0854206226176819,0.07936870891271583,0.15767231848496838,0.20236736384150208,0.17086045102473518,0.08441968029524408,0.38784597691685685,0.02872502036265527,0.164818612310428,0.11935763552436846
Grade com Quadrados,7,0.0077459453243192734,-0.03443378162428133,0.08591568823850307,0.005866656058272171,-0.06657377623899505,0.0023372285529771226,-0.023780312882787022,0.006413686923164758,-0.008136053278096031,-0.011071799382539958,0.009519656445947803,0.1246166055658104,0.08218864810452514,-0.01650033514557906,0.0060781126776597956
