place_id,nome_estabelecimento,review_index,avaliacao_media_estabelecimento,nota_avaliacao,volume_avaliacoes_estabelecimento,num_caracteres_texto,cluster
ChIJbSfwVQDhYY0Rx5aY3a7TZzQ,Board House - Jogos de Tabuleiro,4,4.6,5,32,242,1
ChIJbY1Qc90zWpMRLdrHxi9QMko,República Ludovico,0,5.0,5,79,152,1
ChIJbY1Qc90zWpMRLdrHxi9QMko,República Ludovico,1,5.0,5,79,154,1
ChIJbY1Qc90zWpMRLdrHxi9QMko,República Ludovico,2,5.0,5,79,286,1
ChIJbY1Qc90zWpMRLdrHxi9QMko,República Ludovico,3,5.0,5,79,453,1
ChIJbY1Qc90zWpMRLdrHxi9QMko,República Ludovico,4,5.0,5,79,152,1
ChIJcRvp0r15GZURj1bFNF3n5jw,HEX Board Game Café,1,5.0,4,84,284,1
ChIJcRvp0r15GZURj1bFNF3n5jw,HEX Board Game Café,2,5.0,5,84,333,1
ChIJcRvp0r15GZURj1bFNF3n5jw,HEX Board Game Café,3,5.0,5,84,353,1
ChIJcRvp0r15GZURj1bFNF3n5jw,HEX Board Game Café,4,5.0,5,84,271,1
ChIJd5jnFQAFbJIRyaRaoNBV_hg,Vezzo - Doces e Jogos,1,5.0,5,11,103,1
ChIJd5jnFQAFbJIRyaRaoNBV_hg,Vezzo - Doces e Jogos,2,5.0,5,11,369,1
ChIJd5jnFQAFbJIRyaRaoNBV_hg,Vezzo - Doces e Jogos,3,5.0,5,11,260,1
ChIJd5jnFQAFbJIRyaRaoNBV_hg,Vezzo - Doces e Jogos,4,5.0,5,11,145,1
ChIJf1eUzsUbbJIROHClUemcirk,Player Food,0,4.6,3,67,1103,0
ChIJf1eUzsUbbJIROHClUemcirk,Player Food,1,4.6,5,67,859,1
ChIJf1eUzsUbbJIROHClUemcirk,Player Food,2,4.6,5,67,293,1
ChIJf1eUzsUbbJIROHClUemcirk,Player Food,3,4.6,4,67,310,1
ChIJf1eUzsUbbJIROHClUemcirk,Player Food,4,4.6,3,67,438,0
ChIJfyav9YI9uAARjwbBqcRm2_k,Café Geek Cafeteria e Ludoteca,1,5.0,5,148,180,1
ChIJfyav9YI9uAARjwbBqcRm2_k,Café Geek Cafeteria e Ludoteca,2,5.0,5,148,270,1
