id_jogo,nm_jogo,ano_publicacao,ano_nacional,qt_jogadores_min,qt_jogadores_max,vl_tempo_jogo,idade_minima,qt_tem,qt_teve,qt_favorito,qt_quer,qt_jogou,n_mecanicas,n_categorias,nota_media,qt_avaliacoes,cluster
41867,The White Castle,2023,2023.0,1,4.0,80,12,1584,135,139,969,2266,8,1,8.68,715,0
26163,Carnegie,2022,2022.0,1,4.0,150,14,578,120,65,537,1036,15,0,8.67,396,0
77966,The White Castle Duel,2025,2026.0,2,2.0,40,10,115,3,3,95,81,9,0,8.67,22,0
22705,Wonderland's War,2022,2024.0,2,5.0,125,13,981,104,101,1188,1357,11,4,8.66,390,0
10672,Agricola: Edição Revisada,2016,2023.0,1,4.0,120,12,1826,501,304,1870,2551,12,0,8.66,1222,1
79022,Star Wars: Battle of Hoth,2025,2025.0,2,4.0,30,8,395,12,19,280,284,14,1,8.66,106,0
46380,Azul Mini,2023,2023.0,2,4.0,45,8,3425,162,214,692,2682,6,3,8.66,1176,0
36707,World Wonders,2023,2023.0,1,5.0,70,12,1859,226,214,1271,2780,6,2,8.65,967,0
42403,Estudiosos do Sul do Tigre,2023,2024.0,1,4.0,90,12,310,40,21,212,380,7,2,8.65,113,0
29982,Zombicide: Undead or Alive,2022,2023.0,1,6.0,60,14,655,73,61,433,479,8,2,8.65,207,0
14981,Azul,2017,2018.0,2,4.0,45,8,9428,752,1147,3561,10300,5,2,8.65,5079,1
70797,Zenkai: Adventure,2025,2025.0,1,6.0,90,10,195,19,16,113,159,7,0,8.65,67,0
29058,Carcassonne: Edição do 20° Aniversário,2021,2021.0,2,5.0,45,7,758,87,94,541,831,3,1,8.64,363,0
21960,O Bom do Videogame,2023,2023.0,2,5.0,60,12,545,62,41,613,762,8,0,8.63,267,0
21122,Pax Pamir: Segunda Edição,2019,2022.0,1,5.0,120,14,617,109,105,737,963,10,0,8.63,342,0
16085,Teotihuacan: City of Gods,2018,2019.0,1,4.0,120,12,1540,328,184,977,2033,8,1,8.63,915,1
77825,Everdell Farshore: Edição de Colecionador,2023,2025.0,1,4.0,80,10,219,16,12,108,223,4,1,8.62,62,0
62114,Fate: Defensores de Grimheim,2024,2025.0,1,4.0,180,14,796,48,72,681,803,10,0,8.62,246,0
66840,Azul Mini: Pavilhão de Verão,2024,2024.0,2,4.0,45,8,568,27,22,211,518,6,3,8.62,165,0
59347,Potion Rush,2025,2025.0,2,6.0,20,14,186,3,16,102,194,3,2,8.62,56,0
26735,Massive Darkness 2: Hellscape,2021,2022.0,1,6.0,60,14,549,53,71,617,301,7,2,8.62,153,0
8424,Mombasa,2015,2017.0,2,4.0,150,12,1080,404,136,988,1636,13,0,8.62,794,1
29986,Tiny Epic Dungeons,2021,2023.0,1,4.0,60,14,1969,207,193,1273,1264,8,2,8.61,579,0
366,Robinson Crusoé: Aventuras na Ilha Amaldiçoada,2012,2016.0,1,4.0,120,14,2587,882,399,2384,2619,19,0,8.61,1536,1
7333,As Viagens de Marco Polo,2015,2016.0,2,4.0,100,12,1801,575,344,1337,2963,9,1,8.61,1537,1
