tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Classes de rendimento total e variação patrimonial mensal familiar,Tipos de despesa,valor_original,valor
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,35,São Paulo,2018,Total,3.3 Sanduíches e salgados,23.90,23.9
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,41,Paraná,2018,Total,3.3 Sanduíches e salgados,19.43,19.43
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,42,Santa Catarina,2018,Total,3.3 Sanduíches e salgados,19.93,19.93
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,43,Rio Grande do Sul,2018,Total,3.3 Sanduíches e salgados,18.06,18.06
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,50,Mato Grosso do Sul,2018,Total,3.3 Sanduíches e salgados,26.46,26.46
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,51,Mato Grosso,2018,Total,3.3 Sanduíches e salgados,24.53,24.53
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,52,Goiás,2018,Total,3.3 Sanduíches e salgados,22.82,22.82
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,53,Distrito Federal,2018,Total,3.3 Sanduíches e salgados,31.96,31.96
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Brasil,1,Brasil,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,7.25,7.25
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,11,Rondônia,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,4.84,4.84
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,12,Acre,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,16.19,16.19
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,13,Amazonas,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,3.64,3.64
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,14,Roraima,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,0.96,0.96
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,15,Pará,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,6.53,6.53
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,16,Amapá,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,14.03,14.03
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,17,Tocantins,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,4.06,4.06
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,21,Maranhão,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,5.02,5.02
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,22,Piauí,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,9.20,9.2
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,23,Ceará,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,7.85,7.85
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,24,Rio Grande do Norte,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,7.71,7.71
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,25,Paraíba,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,4.60,4.6
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,26,Pernambuco,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,6.20,6.2
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,27,Alagoas,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,3.99,3.99
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,28,Sergipe,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,44.92,44.92
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,29,Bahia,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,9.19,9.19
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,31,Minas Gerais,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,6.57,6.57
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,32,Espírito Santo,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,5.23,5.23
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,33,Rio de Janeiro,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,3.87,3.87
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,35,São Paulo,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,7.87,7.87
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,41,Paraná,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,5.47,5.47
6972,1201,Despesa monetária e não monetária média mensal familiar,Reais,Unidade da Federação,42,Santa Catarina,2018,Total,3.4 Refrigerantes e outras bebidas não alcoólicas,6.23,6.23
