id_jogo,ano_publicacao,nota_media,nota_rank,qt_avaliacoes
32942,2021,8.57,8.3,425
4699,2014,8.57,8.46,1145
1850,2013,8.57,7.33,54
25958,2020,8.56,7.07,36
2565,2014,8.56,7.84,128
14946,2018,8.56,7.78,115
24015,2021,8.56,8.13,249
782,2009,8.56,6.85,25
13917,2018,8.56,6.88,26
25605,2020,8.56,8.4,763
239,2012,8.56,8.07,213
14346,2021,8.56,8.44,1068
1874,2013,8.56,8.2,305
25167,2021,8.56,7.98,171
56126,2025,8.56,8.11,235
7714,2015,8.56,8.41,810
10546,2016,8.56,8.05,199
1,2008,8.55,8.51,2873
68249,2024,8.55,8.16,278
61099,2023,8.55,7.97,172
22860,2021,8.55,8.12,250
24434,2020,8.55,7.29,51
17,2008,8.55,8.37,658
39887,2022,8.55,6.87,26
26212,2020,8.55,8.02,189
65898,2024,8.55,7.86,134
50577,2021,8.55,8.49,1997
37838,2022,8.55,7.58,81
21822,2019,8.54,8.36,646
13,2007,8.54,8.46,1478
9711,2015,8.54,8.47,1866
19212,2019,8.54,7.83,130
25200,2020,8.54,7.88,143
111,2004,8.54,8.48,1987
70711,2025,8.54,7.93,160
24726,2020,8.54,8.11,248
21221,2019,8.53,8.34,605
28631,2021,8.53,6.75,21
22980,2020,8.53,7.48,71
35666,2022,8.53,8.01,191
23524,2016,8.53,8.35,656
1301,1994,8.53,7.64,93
7250,2015,8.53,7.86,139
36022,2022,8.52,7.23,48
22391,2012,8.52,6.79,23
51347,2021,8.52,6.79,23
118,2005,8.52,8.12,263
8688,2015,8.52,7.96,176
77063,2025,8.52,8.15,294
55669,2023,8.52,8.27,440
35,2007,8.52,7.38,61
47450,2025,8.52,8.0,193
32897,2019,8.52,8.44,1589
25928,2021,8.52,8.14,283
79801,2025,8.52,7.43,66
7011,2015,8.52,7.26,50
35661,2024,8.52,8.22,375
20580,2019,8.51,8.29,501
32813,2021,8.51,8.13,276
54495,2023,8.51,8.35,698
63548,2022,8.5,7.33,57
32087,2023,8.5,7.7,106
13008,2017,8.5,8.32,642
1988,2013,8.5,8.07,240
512,2006,8.5,7.05,36
23093,2019,8.5,7.44,68
22590,2019,8.5,7.93,167
7740,2015,8.5,8.07,239
32279,2023,8.5,8.29,528
52317,2025,8.5,6.81,24
74039,2025,8.5,7.88,152
14305,2017,8.5,7.89,155
86,2011,8.5,8.28,535
41869,2023,8.5,7.98,191
5732,2015,8.5,7.06,37
55575,2025,8.5,7.81,132
16406,2023,8.5,6.94,30
11520,2016,8.49,6.78,23
52395,2022,8.49,8.12,286
18005,2018,8.49,8.27,500
33740,2022,8.49,6.95,31
18404,2018,8.49,8.29,563
22516,2019,8.49,6.78,23
12114,2016,8.49,8.32,702
6445,2014,8.49,8.39,1267
7527,2015,8.49,7.88,154
11538,2018,8.48,8.37,1091
63382,2024,8.48,8.36,970
42672,2023,8.48,8.2,394
55135,2024,8.48,7.91,169
14986,2018,8.48,8.2,405
7438,2015,8.48,8.13,301
7526,2016,8.48,6.89,28
77970,2026,8.48,6.95,31
9172,2017,8.48,8.16,331
9240,2015,8.48,7.2,47
84816,2026,8.47,7.0,34
22973,2019,8.47,7.62,95
49627,2024,8.47,7.22,49
82683,2025,8.47,7.1,40
23683,2020,8.47,8.33,812
113,2005,8.47,8.04,236
835,2011,8.47,7.24,50
56624,2023,8.47,8.33,847
22207,2020,8.46,6.98,33
51007,2023,8.46,7.63,98
29251,2023,8.46,8.1,292
71049,2024,8.46,8.13,332
25364,2022,8.46,8.1,291
312,2012,8.46,6.78,23
79358,2026,8.46,7.87,157
8,2010,8.46,8.43,4076
22637,2017,8.46,6.75,22
2036,2013,8.45,8.41,3129
30538,2022,8.45,7.7,114
59010,2023,8.45,6.88,28
24137,2021,8.45,7.9,171
15448,2019,8.45,7.51,81
26272,2020,8.45,7.99,216
6931,2014,8.45,6.77,23
35375,2022,8.45,7.12,42
767,1986,8.45,7.4,66
845,2009,8.45,6.97,33
54801,2021,8.44,7.26,53
2,2004,8.44,8.41,3641
68391,2025,8.44,7.49,78
32973,2022,8.44,7.66,107
8303,2005,8.44,7.49,78
37895,2022,8.44,8.25,591
77544,2025,8.44,7.96,206
30662,2021,8.44,7.89,171
31086,2021,8.44,7.82,145
1979,2010,8.44,6.79,24
14933,2017,8.44,7.85,155
9500,2015,8.43,7.93,196
42887,2024,8.43,7.64,104
55166,2023,8.43,7.83,154
52997,2023,8.43,8.02,244
24458,2020,8.43,8.18,434
74544,2025,8.43,6.87,28
23936,2019,8.43,6.72,21
12728,2019,8.43,7.97,215
