tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Atividades de serviços,valor_original,valor
10758,1582,Provisão para imposto de renda e contribuição social,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,2033487,2033487.0
10758,1582,Provisão para imposto de renda e contribuição social,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",658321,658321.0
10758,1583,Outras provisões,Mil Reais,Brasil,1,Brasil,2024,1. Total,61379825,61379825.0
10758,1583,Outras provisões,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,552407,552407.0
10758,1583,Outras provisões,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",82289,82289.0
10758,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2024,1. Total,559857071,559857071.0
10758,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,44068802,44068802.0
10758,662,Salários e outras remunerações,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",5054736,5054736.0
10758,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2024,1. Total,30594517,30594517.0
10758,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,678031,678031.0
10758,1584,Participação nos lucros e honorários da diretoria,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",193742,193742.0
10758,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2024,1. Total,3607972,3607972.0
10758,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,227736,227736.0
10758,1585,Remuneração dos sócios cooperados,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",8466,8466.0
10758,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2024,1. Total,50169986,50169986.0
10758,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,4141997,4141997.0
10758,1595,Retiradas prolabore dos proprietários e sócios,Mil Reais,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",1109247,1109247.0
10758,668,Pessoal ocupado em 31/12 - assalariado,Pessoas,Brasil,1,Brasil,2024,1. Total,13698638,13698638.0
10758,668,Pessoal ocupado em 31/12 - assalariado,Pessoas,Brasil,1,Brasil,2024,2.2 Serviços de alimentação,1646944,1646944.0
10758,668,Pessoal ocupado em 31/12 - assalariado,Pessoas,Brasil,1,Brasil,2024,"2.3 Atividades culturais, recreativas e esportivas",194734,194734.0
10758,1586,Pessoal ocupado em 31/12 - não-assalariado - proprietários e sócios com atividade na empresa,Pessoas,Brasil,1,Brasil,2024,1. Total,2038421,2038421.0
