tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Sexo,Condição em relação à força de trabalho e condição de ocupação,Grupo de idade,valor_original,valor
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3205309,Vitória (ES),2022,Total,Total,18 a 19 anos,7635,7635.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5208707,Goiânia (GO),2022,Total,Total,18 a 19 anos,39645,39645.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2111300,São Luís (MA),2022,Total,Total,18 a 19 anos,32165,32165.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5103403,Cuiabá (MT),2022,Total,Total,18 a 19 anos,18480,18480.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,5002704,Campo Grande (MS),2022,Total,Total,18 a 19 anos,23313,23313.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3106200,Belo Horizonte (MG),2022,Total,Total,18 a 19 anos,56664,56664.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1501402,Belém (PA),2022,Total,Total,18 a 19 anos,37262,37262.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2507507,João Pessoa (PB),2022,Total,Total,18 a 19 anos,23904,23904.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,4106902,Curitiba (PR),2022,Total,Total,18 a 19 anos,44391,44391.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2611606,Recife (PE),2022,Total,Total,18 a 19 anos,39295,39295.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2211001,Teresina (PI),2022,Total,Total,18 a 19 anos,25955,25955.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3304557,Rio de Janeiro (RJ),2022,Total,Total,18 a 19 anos,150959,150959.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2408102,Natal (RN),2022,Total,Total,18 a 19 anos,19557,19557.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,4314902,Porto Alegre (RS),2022,Total,Total,18 a 19 anos,30245,30245.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1100205,Porto Velho (RO),2022,Total,Total,18 a 19 anos,14325,14325.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1400100,Boa Vista (RR),2022,Total,Total,18 a 19 anos,14558,14558.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,4205407,Florianópolis (SC),2022,Total,Total,18 a 19 anos,12269,12269.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,3550308,São Paulo (SP),2022,Total,Total,18 a 19 anos,290688,290688.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2800308,Aracaju (SE),2022,Total,Total,18 a 19 anos,17403,17403.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1721000,Palmas (TO),2022,Total,Total,18 a 19 anos,10251,10251.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Brasil,1,Brasil,2022,Total,Total,20 a 24 anos,15454549,15454549.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1200401,Rio Branco (AC),2022,Total,Total,20 a 24 anos,33087,33087.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,2704302,Maceió (AL),2022,Total,Total,20 a 24 anos,79507,79507.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1600303,Macapá (AP),2022,Total,Total,20 a 24 anos,42092,42092.0
10299,1641,Pessoas de 14 anos ou mais de idade,Pessoas,Município,1302603,Manaus (AM),2022,Total,Total,20 a 24 anos,186003,186003.0
