place_id,nome_estabelecimento,avaliacao_media_estabelecimento,volume_avaliacoes_estabelecimento,review_index,nota_avaliacao,idioma,data_relativa,texto_avaliacao,mencao_preco,mencao_friccao,grupo_nota_estabelecimento,grupo_nota_individual,grupo_volume_avaliacoes
ChIJGTvSWgCDmQARyu8hVg-kaSw,Bubble Planet - Lanchonete e Cardgames,4.6,28,0,5,pt,6 months ago,"Duvido algum lugar em Niterói, quiçá do RJ, ter um bubble tea tão autêntico e tão gostoso!
Produtos de altíssima qualidade, preço justo e atendimento maravilhoso.
Todos super simpáticos e acolhedores.",False,False,menor,promotor,menor
ChIJGTvSWgCDmQARyu8hVg-kaSw,Bubble Planet - Lanchonete e Cardgames,4.6,28,1,5,pt,6 months ago,"Que atendimento maravilhoso, meus amigos!  Ambiente acolhedor, equipe atenciosa e comidas excelentes. Só vão!",False,False,menor,promotor,menor
ChIJGTvSWgCDmQARyu8hVg-kaSw,Bubble Planet - Lanchonete e Cardgames,4.6,28,2,5,pt,2 months ago,"Foi minha primeira vez indo no novo endereço e não podia estar mais satisfeita! O atendimento melhorou e todos são muito atenciosos.
O crepe de pepperoni aos 4 queijos já se tornou meu novo favorito. O de banana com chocolate branco eu nem tive tempo de fotografar! O bubble tea com bolinhas de lichia é o melhor.
Um lugar ideal pra quem quer jogar com a galera (a agenda semanal da casa é movimentada!), ou apenas comer e beber algo diferente.",False,False,menor,promotor,menor
ChIJGTvSWgCDmQARyu8hVg-kaSw,Bubble Planet - Lanchonete e Cardgames,4.6,28,3,3,pt,4 weeks ago,"Pontos positivos:

-Ambiente bonito e arrumadinho

-Preços de produtos relacionados a cartas justo

-Atendentes educados e atenciosos

-O crepe é gostoso e preço razoável

Pontos negativos:

-Ambiente muito apertado para o fluxo atual de pessoas, torna descomfortável e estressante navegar a loja para fazer algo simples como comprar um item pequeno.

-Infelizmente nenhuma bebida me agradou, preços altos e sabor decepcionante pra um lugar que tem ""Bubble"" no título. Provei uma customizada em um dia e em outro dia duas com receita pronta, nenhuma salvou.

Veredito final: Vá para fazer compras num lugar atraente mas tome cuidado se for um dia de movimento(Sexta a Domingo) pois ficará espremido de gente. E também comer um crepe maneiro e ser bem atendido se tiver já por lá. Não recomendo sob hipótese alguma para qualquer bebida(dei 3 chances, uma para cada bebida diferente).",True,False,menor,detrator,menor
ChIJGTvSWgCDmQARyu8hVg-kaSw,Bubble Planet - Lanchonete e Cardgames,4.6,28,4,5,pt,5 months ago,"Isso aqui é coisa de doido, melhor crepe e bubble tea que existe, sem igual mermão.",False,False,menor,promotor,menor
ChIJHSDPTgF5GZURKmSqKITyoGM,Arcadea Gaming Pub,4.2,1087,4,4,pt,6 months ago,"Ambiente: Bem legal, espaçoso e estiloso. Tem ar-condicionado e bancos de espuma nas laterais para quem quer mais conforto. A decoração também é bem legal, bem geek. Existem salas VIP para quem quiser alugar; acredito que em dias de semana não há necessidade, mas em fins de semana, quando fica mais cheio, pode ser interessante. O banheiro achei um pouco largado e com mau cheiro, mesmo com o pub vazio no dia. Vi comentários dizendo que no projetor da entrada ficava passando futebol em vez de algo relacionado ao ambiente e, de fato, quando cheguei achei que fosse algum videogame projetando, até perceber alguns funcionários parados assistindo ao jogo. Acho que erram nesse ponto, pois além de o projetor não contribuir para a experiência do local, ainda deixa os funcionários um pouco apáticos. O ambiente também é um pouco claro demais, o que deixa as projeções opacas. Há um projetor na parte superior para quem quiser jogar em tela grande (N64, até 4 pessoas). Seria interessante baixar um pouco as luzes e investir em LEDs coloridas.
⚠️ ATENÇÃO: cuidado ao descer a escada, ela fica em um local escuro e sem piso com textura ou sinalização. Risco real de se machucar.

Jogos: São cobrados R$10 na comanda e você tem acesso livre a todos os jogos, o que faz sentido, pois senão a gurizada da região ficaria lá dentro sem consumir. Os fliperamas são emuladores, com uma infinidade de jogos retrô, desde consoles mais antigos até PS1 e N64. Também há consoles atuais: logo na entrada, onde antes ficava o jogo de dança (estilo Just Dance de shopping, que não tem mais), há dois Xbox 360; no 2º piso tem um Nintendinho e um Nintendo Switch. Nas salas VIP, pelo que percebi, cada uma tem um console, mas não sei dizer qual. Apenas um fliperama estava com a alavanca estragada, algo que considero normal devido ao uso intenso. Os jogos de mesa são legais, com certa variedade, e é normal estarem um pouco gastos; inclusive, plastificaram para preservar. Senti falta de jogos mais dinâmicos, de partidas rápidas, e de alguma separação ou explicação, pois acabei não jogando nenhum por não saber como funcionavam e não querer perder tempo aprendendo. Seria interessante separar por categorias, como “partida rápida (5–10 min)” e “20 min ou mais”.

Comida: Tudo muito bom. Todos pedimos hambúrguer com bife bem passado, pois já tivemos experiências ruins pedindo no ponto em outros lugares. Veio muito bem temperado, na temperatura certa, os pedidos chegaram rápido, tudo delicioso, nada gorduroso e com bons preços. Achei o sistema de cardápio digital bem tranquilo: você lê o QR Code, escolhe os itens e depois lê o QR da comanda para finalizar o pedido. Entendo que pessoas menos habituadas ao digital possam ter dificuldade; no nosso grupo teve gente que pediu direto ao garçom e foi prontamente atendida. Li comentários reclamando do “buffet” bagunçado e sujo, parece que acontece às terças-feiras, então não posso opinar.

Bebidas: Muito boas e levinhas. Para quem quer algo mais forte, talvez não agrade, mas faz sentido por ser um ambiente mais familiar e não um boteco. O drink do Yoda deixou a desejar na decoração: faltou a roupinha da foto do cardápio e as “orelhas” ficavam caindo. Provamos também as fritas e os nachos, ambos muito bons.

Preços: Achei os valores bem justos. Vi gente reclamando, mas acredito que seja pessoal que não está acostumado a frequentar bares e pubs, e sim lanchonetes ou rodízios.

Atendimento: Bom no geral, mas às vezes passa uma sensação de “se vira aí”, como se você estivesse atrapalhando. Não respondem no WhatsApp. Não foram grosseiros, mas ficou dividido entre alguns funcionários simpáticos e outros indiferentes. Teve uma moça em videochamada que ficava indo à nossa mesa dizendo que ia jogar com minha mãe depois e ninguém entendeu se ela trabalhava lá ou não.

Conclusão: Vou voltar! Gostei muito da comida e do ambiente, apesar de sentir uma certa bagunça. Não pretendo fazer outro evento no local, mas quero voltar com amigos para comer bem, beber algo e jogar um pouco. Com R$100 já dá para se divertir.",True,False,menor,neutro,outlier
ChIJK-IiTfuVpgARx8rVtqv8c3g,Massula Nerd House,5.0,94,0,5,pt,3 months ago,"Frequento o bar a quase 1 ano e se tornou meu local favorito nas redondezas. Ótimo para jogar (quem já curte e quem é iniciante, adultos e crianças) e fazer amigos (vc pode ir com sua turma ou ir sozinho). E as pizzas de lá são uma delícia. Vale a pena conhecer.",False,False,maior,promotor,menor
ChIJK-IiTfuVpgARx8rVtqv8c3g,Massula Nerd House,5.0,94,1,5,pt,3 months ago,"Fui várias vezes e continuo participando de algumas atividades (com intenção de ir cada vez mais). Ambiente familiar agradável, que consiste em: pessoas agradáveis de conviver, sem brigas e é um ambiente aberto à novas ideias e debates!
A comida se baseia em porções (particularmente eu AMO a batata frita e os nuggets)! Opções legais de bebidas como refrigerantes mesmo, energéticos e milkshakes! 🫶
Considero os valores justos e aceitáveis, nada que impeça de participar! Além de alguns benefícios em ser um jogador participativo!
Dito isso tudo, acredito que se você for uma pessoa aberta à conhecer novos jogos de tabuleiro e outros tipos de diversão (tipo RPG), que são interessantes por NÃO utilizarem de telas digitais, você vai se divertir bastante! Se você já for alguém que já conhece esse tipo de lazer, também recomendo pela grande variedade!",False,False,maior,promotor,menor
ChIJK-IiTfuVpgARx8rVtqv8c3g,Massula Nerd House,5.0,94,2,2,pt,10 months ago,"Experiência razoável. Não podemos escolher os jogos ficando a escolha a cargo da casa. A comida, quantidade e a qualidade são desproporcionais ao valor cobrado. O cardápio não é de fácil compreensão e merece um formato melhor! A forma como se solicita os pedidos (via grupo wpp) não condiz com a cobrança de 10%.",False,False,maior,detrator,menor
ChIJK-IiTfuVpgARx8rVtqv8c3g,Massula Nerd House,5.0,94,3,5,pt,3 months ago,"Frequento a quase 1 ano e recomendo a todos.
E um ótimo ambiente para amigos e família, como também para quem quer começar a jogar e não tem companhia",False,False,maior,promotor,menor
