nm_jogo,nota_rank,nota_media,qt_avaliacoes,link,slug
Viticulture,7.65,7.92,309,https://ludopedia.com.br/jogo/viticulture,viticulture
Scooby-Doo!: The Board Game,7.65,8.31,124,https://ludopedia.com.br/jogo/scooby-doo-the-board-game,scooby-doo-the-board-game
Sequence,7.65,7.92,302,https://ludopedia.com.br/jogo/sequence,sequence
Galaxy Trucker,7.65,7.8,530,https://ludopedia.com.br/jogo/galaxy-trucker,galaxy-trucker
Quix!,7.65,8.01,226,https://ludopedia.com.br/jogo/quix,quix
Kanban: Automotive Revolution,7.65,8.39,110,https://ludopedia.com.br/jogo/kanban-automotive-revolution,kanban-automotive-revolution
King of Tokyo,7.64,7.67,3018,https://ludopedia.com.br/jogo/king-of-tokyo,king-of-tokyo
Vampire: The Eternal Struggle,7.64,8.53,93,https://ludopedia.com.br/jogo/vampire-the-eternal-struggle,vampire-the-eternal-struggle
Samurai,7.64,7.99,235,https://ludopedia.com.br/jogo/samurai,samurai
Massive Darkness,7.64,8.0,232,https://ludopedia.com.br/jogo/massive-darkness,massive-darkness
The Grimm Forest,7.64,8.04,206,https://ludopedia.com.br/jogo/the-grimm-forest,the-grimm-forest
O Exterminador do Futuro: Gênesis,7.64,8.01,222,https://ludopedia.com.br/jogo/terminator-genisys-rise-of-the-resistance,terminator-genisys-rise-of-the-resistance
Tsukiji,7.64,7.89,328,https://ludopedia.com.br/jogo/tsukiji,tsukiji
Cuba,7.64,8.13,167,https://ludopedia.com.br/jogo/cuba,cuba
Ritos Ancestrais,7.64,8.43,104,https://ludopedia.com.br/jogo/ritos-ancestrais,ritos-ancestrais
Libertalia: Os Ventos de Galecrest,7.64,7.99,234,https://ludopedia.com.br/jogo/libertalia-winds-of-galecrest,libertalia-winds-of-galecrest
Tiny Towns,7.64,7.82,456,https://ludopedia.com.br/jogo/tiny-towns,tiny-towns
Código Secreto: Dueto,7.64,7.86,359,https://ludopedia.com.br/jogo/codenames-duet,codenames-duet
High Society,7.63,7.75,741,https://ludopedia.com.br/jogo/high-society,high-society
Exploding Kittens,7.63,7.68,1869,https://ludopedia.com.br/jogo/exploding-kittens,exploding-kittens
Encantados (2ª Edição),7.63,7.84,401,https://ludopedia.com.br/jogo/encantados-2-edicao,encantados-2-edicao
EXIT: O Jogo - A Cabana Abandonada,7.63,8.04,197,https://ludopedia.com.br/jogo/exit-the-game-the-abandoned-cabin,exit-the-game-the-abandoned-cabin
Sons of Anarchy: Men of Mayhem,7.63,7.96,249,https://ludopedia.com.br/jogo/sons-of-anarchy-men-of-mayhem,sons-of-anarchy-men-of-mayhem
Cangaço,7.63,7.94,263,https://ludopedia.com.br/jogo/cangaco,cangaco
For the Quest,7.63,7.9,297,https://ludopedia.com.br/jogo/for-the-quest,for-the-quest
A Game of Thrones: Catan - Brotherhood of the Watch,7.63,8.34,115,https://ludopedia.com.br/jogo/a-game-of-thrones-catan-brotherhood-of-the-watch,a-game-of-thrones-catan-brotherhood-of-the-watch
Back to the Future: Back in Time,7.63,8.19,144,https://ludopedia.com.br/jogo/back-to-the-future-back-in-time,back-to-the-future-back-in-time
Forbidden Desert,7.63,7.86,356,https://ludopedia.com.br/jogo/forbidden-desert,forbidden-desert
Thurn and Taxis,7.63,7.92,283,https://ludopedia.com.br/jogo/thurn-and-taxis,thurn-and-taxis
Hanamikoji,7.63,7.99,224,https://ludopedia.com.br/jogo/hanamikoji,hanamikoji
Concordia Venus,7.63,8.81,69,https://ludopedia.com.br/jogo/concordia-venus,concordia-venus
