recorte,capital,cbo,ocupacao,admissoes,salario_medio,salario_p25,salario_mediana,salario_p75,salario_medio_real,horas_mediana,amostra_pequena,periodo_competencia
todas as atividades,Cuiabá,513405,Garçom,656,1670.08,1570.0,1621.0,1676.0,1710.24,44.0,False,202508-202607
todas as atividades,Curitiba,513405,Garçom,2751,1979.38,1828.0,1900.0,2068.0,2023.95,44.0,False,202508-202607
todas as atividades,Florianópolis,513405,Garçom,2007,2104.41,1978.0,2095.0,2146.0,2158.22,44.0,False,202508-202607
todas as atividades,Fortaleza,513405,Garçom,2439,1645.35,1563.54,1658.28,1674.49,1683.36,44.0,False,202508-202607
todas as atividades,Goiânia,513405,Garçom,2450,1720.86,1635.87,1635.87,1750.0,1759.73,44.0,False,202508-202607
todas as atividades,João Pessoa,513405,Garçom,1325,1626.61,1563.0,1621.0,1660.0,1662.91,44.0,False,202508-202607
todas as atividades,Macapá,513405,Garçom,214,1882.14,1580.0,1621.0,1687.28,1933.37,44.0,False,202508-202607
todas as atividades,Maceió,513405,Garçom,944,1702.2,1580.0,1695.0,1695.0,1743.25,44.0,False,202508-202607
todas as atividades,Manaus,513405,Garçom,880,1638.85,1593.9,1621.0,1621.0,1676.3,44.0,False,202508-202607
todas as atividades,Natal,513405,Garçom,829,1638.73,1615.0,1621.0,1678.0,1678.49,44.0,False,202508-202607
todas as atividades,Palmas,513405,Garçom,386,1739.6,1626.0,1731.04,1747.0,1774.83,44.0,False,202508-202607
todas as atividades,Porto Alegre,513405,Garçom,2172,1865.09,1770.85,1804.0,1930.0,1908.1,44.0,False,202508-202607
todas as atividades,Porto Velho,513405,Garçom,171,1678.84,1598.0,1688.0,1706.5,1713.79,44.0,False,202508-202607
todas as atividades,Recife,513405,Garçom,1601,1685.09,1651.8,1700.0,1700.0,1726.75,44.0,False,202508-202607
todas as atividades,Rio Branco,513405,Garçom,159,1633.0,1518.0,1621.0,1678.74,1668.89,44.0,False,202508-202607
todas as atividades,Rio de Janeiro,513405,Garçom,8327,1778.26,1658.8,1658.8,1753.0,1819.4,44.0,False,202508-202607
todas as atividades,Salvador,513405,Garçom,1911,1643.38,1625.09,1625.09,1646.0,1682.59,44.0,False,202508-202607
todas as atividades,São Luís,513405,Garçom,526,1720.97,1665.59,1665.59,1685.86,1763.75,44.0,False,202508-202607
todas as atividades,São Paulo,513405,Garçom,15212,2107.28,1805.06,2070.51,2237.0,2155.91,44.0,False,202508-202607
todas as atividades,Teresina,513405,Garçom,699,1656.5,1568.0,1675.0,1675.0,1694.01,44.0,False,202508-202607
todas as atividades,Vitória,513405,Garçom,786,1779.1,1647.29,1705.0,1840.4,1818.16,44.0,False,202508-202607
todas as atividades,Aracaju,513415,Cumim,217,1609.06,1560.0,1621.0,1633.89,1646.32,44.0,False,202508-202607
todas as atividades,Belo Horizonte,513415,Cumim,598,1701.46,1621.0,1697.0,1738.0,1742.1,44.0,False,202508-202607
todas as atividades,Belém,513415,Cumim,400,1608.36,1518.0,1615.32,1621.0,1654.42,44.0,False,202508-202607
todas as atividades,Boa Vista,513415,Cumim,112,1605.33,1586.31,1621.0,1621.0,1645.07,44.0,False,202508-202607
todas as atividades,Brasília,513415,Cumim,1992,1718.81,1639.44,1750.68,1750.68,1756.91,44.0,False,202508-202607
todas as atividades,Campo Grande,513415,Cumim,150,1684.25,1600.0,1691.2,1691.2,1718.99,44.0,False,202508-202607
todas as atividades,Cuiabá,513415,Cumim,173,1655.64,1570.0,1621.0,1676.0,1692.25,44.0,False,202508-202607
todas as atividades,Curitiba,513415,Cumim,426,1870.6,1828.0,1900.0,1955.37,1913.31,44.0,False,202508-202607
todas as atividades,Florianópolis,513415,Cumim,141,2052.21,1978.0,1978.0,2146.0,2107.09,44.0,False,202508-202607
todas as atividades,Fortaleza,513415,Cumim,1109,1624.32,1563.54,1658.28,1674.49,1662.71,44.0,False,202508-202607
todas as atividades,Goiânia,513415,Cumim,848,1711.32,1635.87,1635.87,1750.0,1749.03,44.0,False,202508-202607
todas as atividades,João Pessoa,513415,Cumim,571,1601.06,1563.0,1621.0,1621.0,1641.29,44.0,False,202508-202607
todas as atividades,Macapá,513415,Cumim,35,1586.41,1518.0,1621.0,1621.0,1616.26,44.0,False,202508-202607
todas as atividades,Maceió,513415,Cumim,494,1663.08,1580.0,1695.0,1695.0,1704.5,44.0,False,202508-202607
todas as atividades,Manaus,513415,Cumim,462,1605.91,1593.9,1621.0,1621.0,1641.64,44.0,False,202508-202607
todas as atividades,Natal,513415,Cumim,535,1650.02,1595.0,1621.0,1664.85,1688.86,44.0,False,202508-202607
todas as atividades,Palmas,513415,Cumim,83,1731.23,1606.0,1725.0,1725.0,1766.06,44.0,False,202508-202607
todas as atividades,Porto Alegre,513415,Cumim,205,1815.4,1770.85,1770.85,1850.0,1857.82,44.0,False,202508-202607
todas as atividades,Porto Velho,513415,Cumim,68,1657.12,1598.0,1637.0,1706.5,1686.54,44.0,False,202508-202607
todas as atividades,Recife,513415,Cumim,932,1682.08,1651.8,1700.0,1700.0,1719.21,44.0,False,202508-202607
todas as atividades,Rio Branco,513415,Cumim,67,1625.45,1598.0,1621.0,1706.5,1661.5,44.0,False,202508-202607
todas as atividades,Rio de Janeiro,513415,Cumim,3623,1702.05,1658.8,1658.8,1733.45,1741.05,44.0,False,202508-202607
todas as atividades,Salvador,513415,Cumim,672,1629.41,1625.09,1625.09,1625.09,1669.52,44.0,False,202508-202607
todas as atividades,São Luís,513415,Cumim,161,1706.4,1665.59,1665.59,1665.59,1748.33,44.0,False,202508-202607
todas as atividades,São Paulo,513415,Cumim,5377,1918.61,1804.0,1804.0,2001.61,1961.63,44.0,False,202508-202607
todas as atividades,Teresina,513415,Cumim,165,1633.84,1568.0,1675.0,1675.0,1671.54,44.0,False,202508-202607
todas as atividades,Vitória,513415,Cumim,166,1668.54,1590.0,1705.0,1705.0,1709.81,44.0,False,202508-202607
todas as atividades,Aracaju,513420,Barman,168,1739.5,1560.0,1650.0,1800.0,1783.58,44.0,False,202508-202607
todas as atividades,Belo Horizonte,513420,Barman,451,1845.08,1650.0,1738.0,2000.0,1888.45,44.0,False,202508-202607
