tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,Sexo,Forma de declaração da idade,Idade,valor_original,valor
9514,93,População residente,Pessoas,Município,1200401,Rio Branco (AC),2022,Total,Total,25 a 29 anos,31395,31395.0
9514,93,População residente,Pessoas,Município,2704302,Maceió (AL),2022,Total,Total,25 a 29 anos,79300,79300.0
9514,93,População residente,Pessoas,Município,1600303,Macapá (AP),2022,Total,Total,25 a 29 anos,39558,39558.0
9514,93,População residente,Pessoas,Município,1302603,Manaus (AM),2022,Total,Total,25 a 29 anos,180961,180961.0
9514,93,População residente,Pessoas,Município,2927408,Salvador (BA),2022,Total,Total,25 a 29 anos,174296,174296.0
9514,93,População residente,Pessoas,Município,2304400,Fortaleza (CE),2022,Total,Total,25 a 29 anos,201977,201977.0
9514,93,População residente,Pessoas,Município,5300108,Brasília (DF),2022,Total,Total,25 a 29 anos,224162,224162.0
9514,93,População residente,Pessoas,Município,3205309,Vitória (ES),2022,Total,Total,25 a 29 anos,23212,23212.0
9514,93,População residente,Pessoas,Município,5208707,Goiânia (GO),2022,Total,Total,25 a 29 anos,120411,120411.0
9514,93,População residente,Pessoas,Município,2111300,São Luís (MA),2022,Total,Total,25 a 29 anos,87786,87786.0
9514,93,População residente,Pessoas,Município,5103403,Cuiabá (MT),2022,Total,Total,25 a 29 anos,52286,52286.0
9514,93,População residente,Pessoas,Município,5002704,Campo Grande (MS),2022,Total,Total,25 a 29 anos,71631,71631.0
9514,93,População residente,Pessoas,Município,3106200,Belo Horizonte (MG),2022,Total,Total,25 a 29 anos,175522,175522.0
9514,93,População residente,Pessoas,Município,1501402,Belém (PA),2022,Total,Total,25 a 29 anos,100056,100056.0
9514,93,População residente,Pessoas,Município,2507507,João Pessoa (PB),2022,Total,Total,25 a 29 anos,66089,66089.0
9514,93,População residente,Pessoas,Município,4106902,Curitiba (PR),2022,Total,Total,25 a 29 anos,138949,138949.0
9514,93,População residente,Pessoas,Município,2611606,Recife (PE),2022,Total,Total,25 a 29 anos,110525,110525.0
9514,93,População residente,Pessoas,Município,2211001,Teresina (PI),2022,Total,Total,25 a 29 anos,67987,67987.0
9514,93,População residente,Pessoas,Município,3304557,Rio de Janeiro (RJ),2022,Total,Total,25 a 29 anos,454428,454428.0
9514,93,População residente,Pessoas,Município,2408102,Natal (RN),2022,Total,Total,25 a 29 anos,58542,58542.0
9514,93,População residente,Pessoas,Município,4314902,Porto Alegre (RS),2022,Total,Total,25 a 29 anos,99223,99223.0
9514,93,População residente,Pessoas,Município,1100205,Porto Velho (RO),2022,Total,Total,25 a 29 anos,39010,39010.0
9514,93,População residente,Pessoas,Município,1400100,Boa Vista (RR),2022,Total,Total,25 a 29 anos,39293,39293.0
9514,93,População residente,Pessoas,Município,4205407,Florianópolis (SC),2022,Total,Total,25 a 29 anos,47102,47102.0
9514,93,População residente,Pessoas,Município,3550308,São Paulo (SP),2022,Total,Total,25 a 29 anos,882865,882865.0
9514,93,População residente,Pessoas,Município,2800308,Aracaju (SE),2022,Total,Total,25 a 29 anos,47708,47708.0
9514,93,População residente,Pessoas,Município,1721000,Palmas (TO),2022,Total,Total,25 a 29 anos,28924,28924.0
9514,93,População residente,Pessoas,Município,1200401,Rio Branco (AC),2022,Total,Total,30 a 34 anos,29746,29746.0
9514,93,População residente,Pessoas,Município,2704302,Maceió (AL),2022,Total,Total,30 a 34 anos,73145,73145.0
9514,93,População residente,Pessoas,Município,1600303,Macapá (AP),2022,Total,Total,30 a 34 anos,36284,36284.0
9514,93,População residente,Pessoas,Município,1302603,Manaus (AM),2022,Total,Total,30 a 34 anos,164135,164135.0
9514,93,População residente,Pessoas,Município,2927408,Salvador (BA),2022,Total,Total,30 a 34 anos,173758,173758.0
9514,93,População residente,Pessoas,Município,2304400,Fortaleza (CE),2022,Total,Total,30 a 34 anos,197115,197115.0
9514,93,População residente,Pessoas,Município,5300108,Brasília (DF),2022,Total,Total,30 a 34 anos,223174,223174.0
9514,93,População residente,Pessoas,Município,3205309,Vitória (ES),2022,Total,Total,30 a 34 anos,23980,23980.0
9514,93,População residente,Pessoas,Município,5208707,Goiânia (GO),2022,Total,Total,30 a 34 anos,118931,118931.0
9514,93,População residente,Pessoas,Município,2111300,São Luís (MA),2022,Total,Total,30 a 34 anos,87665,87665.0
9514,93,População residente,Pessoas,Município,5103403,Cuiabá (MT),2022,Total,Total,30 a 34 anos,54411,54411.0
9514,93,População residente,Pessoas,Município,5002704,Campo Grande (MS),2022,Total,Total,30 a 34 anos,70858,70858.0
9514,93,População residente,Pessoas,Município,3106200,Belo Horizonte (MG),2022,Total,Total,30 a 34 anos,174412,174412.0
9514,93,População residente,Pessoas,Município,1501402,Belém (PA),2022,Total,Total,30 a 34 anos,97088,97088.0
9514,93,População residente,Pessoas,Município,2507507,João Pessoa (PB),2022,Total,Total,30 a 34 anos,66602,66602.0
9514,93,População residente,Pessoas,Município,4106902,Curitiba (PR),2022,Total,Total,30 a 34 anos,138214,138214.0
9514,93,População residente,Pessoas,Município,2611606,Recife (PE),2022,Total,Total,30 a 34 anos,111506,111506.0
9514,93,População residente,Pessoas,Município,2211001,Teresina (PI),2022,Total,Total,30 a 34 anos,70233,70233.0
9514,93,População residente,Pessoas,Município,3304557,Rio de Janeiro (RJ),2022,Total,Total,30 a 34 anos,460448,460448.0
9514,93,População residente,Pessoas,Município,2408102,Natal (RN),2022,Total,Total,30 a 34 anos,56842,56842.0
9514,93,População residente,Pessoas,Município,4314902,Porto Alegre (RS),2022,Total,Total,30 a 34 anos,97365,97365.0
9514,93,População residente,Pessoas,Município,1100205,Porto Velho (RO),2022,Total,Total,30 a 34 anos,38580,38580.0
9514,93,População residente,Pessoas,Município,1400100,Boa Vista (RR),2022,Total,Total,30 a 34 anos,35080,35080.0
9514,93,População residente,Pessoas,Município,4205407,Florianópolis (SC),2022,Total,Total,30 a 34 anos,48512,48512.0
9514,93,População residente,Pessoas,Município,3550308,São Paulo (SP),2022,Total,Total,30 a 34 anos,888568,888568.0
9514,93,População residente,Pessoas,Município,2800308,Aracaju (SE),2022,Total,Total,30 a 34 anos,47174,47174.0
9514,93,População residente,Pessoas,Município,1721000,Palmas (TO),2022,Total,Total,30 a 34 anos,26854,26854.0
9514,93,População residente,Pessoas,Município,1200401,Rio Branco (AC),2022,Total,Total,35 a 39 anos,30217,30217.0
9514,93,População residente,Pessoas,Município,2704302,Maceió (AL),2022,Total,Total,35 a 39 anos,76853,76853.0
9514,93,População residente,Pessoas,Município,1600303,Macapá (AP),2022,Total,Total,35 a 39 anos,35969,35969.0
9514,93,População residente,Pessoas,Município,1302603,Manaus (AM),2022,Total,Total,35 a 39 anos,172209,172209.0
9514,93,População residente,Pessoas,Município,2927408,Salvador (BA),2022,Total,Total,35 a 39 anos,212114,212114.0
9514,93,População residente,Pessoas,Município,2304400,Fortaleza (CE),2022,Total,Total,35 a 39 anos,201946,201946.0
9514,93,População residente,Pessoas,Município,5300108,Brasília (DF),2022,Total,Total,35 a 39 anos,239309,239309.0
9514,93,População residente,Pessoas,Município,3205309,Vitória (ES),2022,Total,Total,35 a 39 anos,26637,26637.0
9514,93,População residente,Pessoas,Município,5208707,Goiânia (GO),2022,Total,Total,35 a 39 anos,122169,122169.0
9514,93,População residente,Pessoas,Município,2111300,São Luís (MA),2022,Total,Total,35 a 39 anos,91790,91790.0
9514,93,População residente,Pessoas,Município,5103403,Cuiabá (MT),2022,Total,Total,35 a 39 anos,56378,56378.0
9514,93,População residente,Pessoas,Município,5002704,Campo Grande (MS),2022,Total,Total,35 a 39 anos,71900,71900.0
9514,93,População residente,Pessoas,Município,3106200,Belo Horizonte (MG),2022,Total,Total,35 a 39 anos,183821,183821.0
9514,93,População residente,Pessoas,Município,1501402,Belém (PA),2022,Total,Total,35 a 39 anos,103417,103417.0
9514,93,População residente,Pessoas,Município,2507507,João Pessoa (PB),2022,Total,Total,35 a 39 anos,70608,70608.0
9514,93,População residente,Pessoas,Município,4106902,Curitiba (PR),2022,Total,Total,35 a 39 anos,142224,142224.0
9514,93,População residente,Pessoas,Município,2611606,Recife (PE),2022,Total,Total,35 a 39 anos,116312,116312.0
9514,93,População residente,Pessoas,Município,2211001,Teresina (PI),2022,Total,Total,35 a 39 anos,75169,75169.0
9514,93,População residente,Pessoas,Município,3304557,Rio de Janeiro (RJ),2022,Total,Total,35 a 39 anos,479813,479813.0
9514,93,População residente,Pessoas,Município,2408102,Natal (RN),2022,Total,Total,35 a 39 anos,59971,59971.0
9514,93,População residente,Pessoas,Município,4314902,Porto Alegre (RS),2022,Total,Total,35 a 39 anos,101607,101607.0
9514,93,População residente,Pessoas,Município,1100205,Porto Velho (RO),2022,Total,Total,35 a 39 anos,39669,39669.0
9514,93,População residente,Pessoas,Município,1400100,Boa Vista (RR),2022,Total,Total,35 a 39 anos,34299,34299.0
