tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,valor_original,valor
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,3101,Belo Horizonte - MG,2024,2606,2606.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,3101,Belo Horizonte - MG,2025,3000,3000.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,3201,Grande Vitória - ES,2023,2376,2376.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,3201,Grande Vitória - ES,2024,2605,2605.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,3201,Grande Vitória - ES,2025,2697,2697.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,3301,Rio de Janeiro - RJ,2023,2691,2691.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,3301,Rio de Janeiro - RJ,2024,2741,2741.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,3301,Rio de Janeiro - RJ,2025,2972,2972.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,3501,São Paulo - SP,2023,3179,3179.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,3501,São Paulo - SP,2024,3309,3309.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,3501,São Paulo - SP,2025,3152,3152.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,4101,Curitiba - PR,2023,2665,2665.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,4101,Curitiba - PR,2024,3083,3083.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,4101,Curitiba - PR,2025,3273,3273.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,4201,Florianópolis - SC,2023,3433,3433.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,4201,Florianópolis - SC,2024,3520,3520.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,4201,Florianópolis - SC,2025,3657,3657.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,4301,Porto Alegre - RS,2023,2849,2849.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,4301,Porto Alegre - RS,2024,3090,3090.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,4301,Porto Alegre - RS,2025,3097,3097.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,5101,Vale do Rio Cuiabá - MT,2023,2268,2268.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,5101,Vale do Rio Cuiabá - MT,2024,2558,2558.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,5101,Vale do Rio Cuiabá - MT,2025,2521,2521.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,5201,Goiânia - GO,2023,2474,2474.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,5201,Goiânia - GO,2024,2537,2537.0
7395,4196,Rendimento médio mensal real domiciliar per capita,Reais,Região Metropolitana até 2020,5201,Goiânia - GO,2025,2995,2995.0
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Brasil,1,Brasil,2023,0.8,0.8
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Brasil,1,Brasil,2024,0.8,0.8
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Brasil,1,Brasil,2025,0.8,0.8
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,11,Rondônia,2023,3.7,3.7
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,11,Rondônia,2024,4.8,4.8
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,11,Rondônia,2025,4.0,4.0
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,12,Acre,2023,3.7,3.7
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,12,Acre,2024,3.9,3.9
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,12,Acre,2025,4.7,4.7
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,13,Amazonas,2023,4.5,4.5
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,13,Amazonas,2024,4.0,4.0
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,13,Amazonas,2025,4.3,4.3
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,14,Roraima,2023,5.9,5.9
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,14,Roraima,2024,5.4,5.4
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,14,Roraima,2025,6.0,6.0
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,15,Pará,2023,3.7,3.7
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,15,Pará,2024,3.3,3.3
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,15,Pará,2025,3.4,3.4
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,16,Amapá,2023,6.2,6.2
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,16,Amapá,2024,6.2,6.2
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,16,Amapá,2025,8.2,8.2
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,17,Tocantins,2023,3.8,3.8
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,17,Tocantins,2024,3.4,3.4
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,17,Tocantins,2025,4.2,4.2
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,21,Maranhão,2023,2.3,2.3
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,21,Maranhão,2024,2.7,2.7
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,21,Maranhão,2025,2.1,2.1
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,22,Piauí,2023,9.3,9.3
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,22,Piauí,2024,8.6,8.6
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,22,Piauí,2025,5.1,5.1
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,23,Ceará,2023,3.3,3.3
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,23,Ceará,2024,2.8,2.8
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,23,Ceará,2025,3.5,3.5
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,24,Rio Grande do Norte,2023,4.9,4.9
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,24,Rio Grande do Norte,2024,5.0,5.0
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,24,Rio Grande do Norte,2025,5.4,5.4
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,25,Paraíba,2023,5.3,5.3
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,25,Paraíba,2024,4.6,4.6
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,25,Paraíba,2025,4.5,4.5
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,26,Pernambuco,2023,4.0,4.0
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,26,Pernambuco,2024,4.6,4.6
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,26,Pernambuco,2025,3.4,3.4
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,27,Alagoas,2023,3.7,3.7
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,27,Alagoas,2024,4.1,4.1
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,27,Alagoas,2025,3.6,3.6
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,28,Sergipe,2023,5.0,5.0
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,28,Sergipe,2024,4.8,4.8
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,28,Sergipe,2025,4.8,4.8
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,29,Bahia,2023,3.0,3.0
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,29,Bahia,2024,2.9,2.9
7395,4197,Coeficiente de variação - Rendimento médio mensal real domiciliar per capita,%,Unidade da Federação,29,Bahia,2025,2.4,2.4
