tabela,variavel_id,variavel,unidade,nivel,localidade_id,localidade,periodo,"Geral, grupo, subgrupo, item e subitem",valor_original,valor
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202411,Índice geral,0.63,0.63
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202412,Índice geral,0.43,0.43
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202501,Índice geral,0.04,0.04
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202502,Índice geral,1.62,1.62
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202503,Índice geral,0.42,0.42
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202504,Índice geral,0.60,0.6
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202505,Índice geral,0.13,0.13
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202506,Índice geral,-0.08,-0.08
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202507,Índice geral,-0.19,-0.19
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202508,Índice geral,-0.28,-0.28
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202509,Índice geral,0.55,0.55
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202510,Índice geral,-0.08,-0.08
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202511,Índice geral,0.23,0.23
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202512,Índice geral,0.17,0.17
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202601,Índice geral,0.48,0.48
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202602,Índice geral,0.18,0.18
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202603,Índice geral,0.93,0.93
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202604,Índice geral,1.02,1.02
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202605,Índice geral,1.31,1.31
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202606,Índice geral,0.02,0.02
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202607,Índice geral,0.00,0.0
7060,63,IPCA - Variação mensal,%,Município,5002704,Campo Grande - MS,202608,Índice geral,-0.20,-0.2
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202309,Índice geral,-0.11,-0.11
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202310,Índice geral,0.80,0.8
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202311,Índice geral,0.31,0.31
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202312,Índice geral,0.44,0.44
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202401,Índice geral,0.87,0.87
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202402,Índice geral,0.51,0.51
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202403,Índice geral,0.36,0.36
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202404,Índice geral,0.24,0.24
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202405,Índice geral,-0.06,-0.06
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202406,Índice geral,0.50,0.5
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202407,Índice geral,0.43,0.43
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202408,Índice geral,-0.51,-0.51
7060,63,IPCA - Variação mensal,%,Município,5208707,Goiânia - GO,202409,Índice geral,1.08,1.08
