place_id,nome,endereco,capital_busca,termo_busca
ChIJe0C4Xy5HAQcRytrRQJpZuEg,Play Games / Maceió-AL,"Av. Comendador Gustavo Paiva, 5945 - Loja 3031 - Cruz das Almas, Maceió - AL, 57038-000, Brasil",Maceió,bar de jogos de tabuleiro
ChIJc4z0GXBFAQcRGn5YSC0gnbo,Lorde Nelson Rest Pub - Bar de Metal 🤘,"R. Silvério Jorge, 241 - Jaraguá, Maceió - AL, 57022-050, Brasil",Maceió,bar de jogos de tabuleiro
ChIJGZqe4nFFAQcROKyoXPArrvM,Rex Bar,"R. Sá e Albuquerque, 674 - Jaraguá, Maceió - AL, 57022-180, Brasil",Maceió,bar de jogos de tabuleiro
ChIJ8Sm3w0FJAQcRBgwyl8PaDn8,AL RPG CLUB,"R. Alm. Tamandaré, 59 - Prado, Maceió - AL, 57010-030, Brasil",Maceió,bar de jogos de tabuleiro
ChIJYy1yoZNIAQcRNRKueux1Vyo,Boteco Fama,"Av. Sebastião Corrêia da Rocha, 471 - Tabuleiro do Martins, Maceió - AL, 57061-410, Brasil",Maceió,bar de jogos de tabuleiro
ChIJ25Hb_fNIAQcR3B7zZiGGEi8,Feirinha do Tabuleiro,"84 - Av. Maceió, 50 - Tabuleiro do Martins, Maceió - AL, 57061-110, Brasil",Maceió,bar de jogos de tabuleiro
ChIJoXOYsrxFAQcR_AYapa5hV8k,BrinqueLazer,"Av. Dr. Júlio Marques Luz, 1657 - Jatiúca, Maceió - AL, 57035-700, Brasil",Maceió,bar de jogos de tabuleiro
ChIJS8rfcspFAQcRiEwqDU3paXo,Botequim da Poica,"R. Sen. Rui Palmeira, 34 - Ponta Verde, Maceió - AL, 57035-250, Brasil",Maceió,bar de jogos de tabuleiro
ChIJpZbpu_zVBQcRuPFD4K5R8Co,Taverna: Game & Café,"R. Srg. Benevides Montes, 214 - Primavera, Arapiraca - AL, 57300-230, Brasil",Maceió,bar de jogos de tabuleiro
ChIJJ3R-xc1FAQcRabKnPzkG8Gs,O Espetão - Snooker Bar & Restaurante,"Rua da churrascaria Sal e Brasa, Em frente ao Barbearia MCZ - R. Prof. Ernâni de Figueiredo Magalhães, S/N - Cruz das Almas, Maceió - AL, 57038-155, Brasil",Maceió,bar de jogos de tabuleiro
ChIJs880fdVFAQcRDJ85vbEBgSg,Parque Shopping Maceió,"Av. Comendador Gustavo Paiva, 5945 - Cruz das Almas, Maceió - AL, 57038-000, Brasil",Maceió,bar de jogos de tabuleiro
ChIJDUoU8QlJAQcR5J807Tuy3gY,Latin House Maceió,"Av. Menino Marcelo, 134 - Tabuleiro do Martins, Maceió - AL, 57081-385, Brasil",Maceió,bar de jogos de tabuleiro
ChIJ6Yn7M71FAQcRM-u_TrNWSkQ,HomeVR,"Av. Dr. Júlio Marques Luz, 1599 - Jatiúca, Maceió - AL, 57035-700, Brasil",Maceió,jogos de tabuleiro
ChIJcaXZtIBPAQcRIq7oaEIAdHc,Wanderson,"galeria sagrado coração de jesus - R. Santa Luzia, sala 02 - Tabuleiro do Martins, Maceió - AL, 57060-150, Brasil",Maceió,jogos de tabuleiro
ChIJa2IS9T5JAQcRhLCVnkXC7aw,Sonic games,"Av. Maceió - Tabuleiro do Martins, Maceió - AL, 57061-060, Brasil",Maceió,jogos de tabuleiro
ChIJPxbr071FAQcROLAjKHLWfFs,Blue Games & Informática,"R. José Cabral Acioli, n° 475 - Lj 06 - Jatiúca, Maceió - AL, 57035-677, Brasil",Maceió,jogos de tabuleiro
ChIJe0C4Xy5HAQcRytrRQJpZuEg,Play Games / Maceió-AL,"Av. Comendador Gustavo Paiva, 5945 - Loja 3031 - Cruz das Almas, Maceió - AL, 57038-000, Brasil",Maceió,jogos de tabuleiro
ChIJnXkS431FAQcROUxKASeZrKk,Matrix Games,"Rua do Livramento, 245 - Sl 10 - Centro, Maceió - AL, 57020-030, Brasil",Maceió,jogos de tabuleiro
ChIJL48M4dNFAQcRst9EFDPtboU,Terra Média Geek Store,"R. Clementino do Monte, 58 - Farol, Maceió - AL, 57055-612, Brasil",Maceió,jogos de tabuleiro
ChIJQ1Dw__NIAQcRNXJJQxaP7EM,Mundo do Real,"Av. Maceió, 876 - Tabuleiro do Martins, Maceió - AL, 57061-110, Brasil",Maceió,jogos de tabuleiro
ChIJ25Hb_fNIAQcR3B7zZiGGEi8,Feirinha do Tabuleiro,"84 - Av. Maceió, 50 - Tabuleiro do Martins, Maceió - AL, 57061-110, Brasil",Maceió,jogos de tabuleiro
ChIJfSQNreJJAQcR6NgXUUHgDnM,Fênix Games,"Feirinha do - Tabuleiro do Martins, Maceió - AL, 57061-110, Brasil",Maceió,jogos de tabuleiro
ChIJq5XJzgk3AQcR3Aumtapg7C8,Ludoteco,"Av. Frei Damião de Bozano, 310 - Cidade Universitária, Maceió - AL, 57073-610, Brasil",Maceió,jogos de tabuleiro
ChIJw6_9ovVIAQcR5EHqCEkSgC4,Fire Paintball,"Av. Durval de Góes Monteiro, 5148 - E - Tabuleiro do Martins, Maceió - AL, 57061-000, Brasil",Maceió,jogos de tabuleiro
ChIJ3SukOn9PAQcRb_Lb03rPwwY,RPG de Mesa Paga - TD Santos,"R. Dr. Virgílio Guedes, 1142B - Ponta Grossa, Maceió - AL, 57014-002, Brasil",Maceió,jogos de tabuleiro
ChIJARBcJC1GAQcRbnEXpL1UqG8,RI HAPPY PÁTIO MACEIÓ,"Av. Menino Marcelo, 3800 - loja número 10 - Cidade Universitária, Maceió - AL, 57081-385, Brasil",Maceió,jogos de tabuleiro
ChIJsy-eNH5FAQcRzqAvmCAJZ8c,PH Maceió - Atacado,"R. da Alegria, 231 - Centro, Maceió - AL, 57020-320, Brasil",Maceió,jogos de tabuleiro
ChIJs880fdVFAQcRDJ85vbEBgSg,Parque Shopping Maceió,"Av. Comendador Gustavo Paiva, 5945 - Cruz das Almas, Maceió - AL, 57038-000, Brasil",Maceió,jogos de tabuleiro
ChIJ8Sm3w0FJAQcRBgwyl8PaDn8,AL RPG CLUB,"R. Alm. Tamandaré, 59 - Prado, Maceió - AL, 57010-030, Brasil",Maceió,jogos de tabuleiro
ChIJyZEDO2ZIAQcRJXz4rw1Sf1E,Megapixel gráfica rápida,"Av. Francisco Afonso de Melo, 254 - Santa Lúcia, Maceió - AL, 57082-065, Brasil",Maceió,jogos de tabuleiro
ChIJHa_Z51lIAQcRFmRsEsFgfg4,Casa Loterica Zebrinha,"Rua Dr. Eurico Ayres, 35 - Tabuleiro do Martins, Maceió - AL, 57061-050, Brasil",Maceió,jogos de tabuleiro
ChIJPct5IgBJAQcR9w9rrtalizI,Agario PATA Candy Crush - Unidade Clima Bom,"Tabuleiro do Martins, Maceió - AL, 57037-630, Brasil",Maceió,jogos de tabuleiro
ChIJbSfwVQDhYY0Rx5aY3a7TZzQ,Board House - Jogos de Tabuleiro,"Av. Desidério Antônio Coelho, 1189 - Trem, Macapá - AP, 68901-080, Brasil",Macapá,ludobar
ChIJhUqpPe3nYY0RoXzwAvFh7HU,Tabuleiroca,"Rua Vila dos Oliveiras, 471 E - Pedrinhas, Macapá - AP, 68903-121, Brasil",Macapá,ludobar
ChIJKfGDY2vhYY0RweefbOXSwhg,ARKD BAR,"R. Paraná, 640F - Santa Rita, Macapá - AP, 68901-260, Brasil",Macapá,ludobar
ChIJnyqy8QHhYY0RIHJp_Ofb4v8,4 Fun Geek Store,"Acelino de Leão, 1503 - Buritizal, Macapá - AP, 68901-092, Brasil",Macapá,ludobar
ChIJa3o_ohPhYY0R62l0kundIn4,Treta Club,"Av. Pres. Vargas, 2467 - Santa Rita, Macapá - AP, 68901-262, Brasil",Macapá,ludobar
ChIJJ-SKMwDhYY0R1QRcLa9qyzE,Billiards Bar,"R. Hamilton Silva, 2969 - Trem, Macapá - AP, 68901-140, Brasil",Macapá,ludobar
ChIJI7SPyj7hYY0RVShAzLrI4_8,BAR DO VILA,"Av. Mendonça Furtado, 586 - Central, Macapá - AP, 68900-060, Brasil",Macapá,ludobar
ChIJZZUHbgDhYY0R9jUdPGJQZbI,Lajes Barber Club,"R. Leopoldo Machado, 2447 - Centro, Macapá - AP, 68900-067, Brasil",Macapá,ludobar
ChIJ_aoJowXhYY0RexhM2OIROCU,Taberna pub,"Av. Padre Júlio Maria Lombaerd, 3646 - Central, Macapá - AP, 68901-283, Brasil",Macapá,ludobar
ChIJb5ySLqfhYY0R8iLN1uFJCcU,Bar do Urso,"R. Odilardo Silva, 2300 - Trem, Macapá - AP, 68900-151, Brasil",Macapá,ludobar
ChIJR0RVu7PhYY0RHoVScsHyiNU,Arena Underground Games,"R. Gen. Rondon, 1467 - Centro, Macapá - AP, 68900-082, Brasil",Macapá,ludobar
